,Invariant Mass
0,412.1335975261561
1,481.34406914091176
2,395.60228094010097
3,883.7539618537982
4,1128.4538039747067
5,496.81533117677776
6,95.35294540932222
7,382.4418012987908
8,425.4027868814761
9,387.3444166347749
10,392.08521245631636
11,569.9135472127234
12,382.97898848962865
13,431.21580312660745
14,533.455027242897
15,454.6918040462925
16,499.35959209575344
17,405.4204273595029
18,600.2781849419197
19,390.28643580307875
20,427.9302051398172
21,426.3611596811383
22,460.99128750841345
23,680.8935217936279
24,421.8879704339246
25,537.4122776702901
26,553.5290759494965
27,433.2174427794972
28,556.3988827305129
29,572.5202114457267
30,471.39378454722123
31,705.6030159883296
32,519.0146842724198
33,550.7834177281203
34,409.6593298125893
35,400.1022788372052
36,387.42346498525654
37,713.9358953050856
38,416.12926146500035
39,493.25049709844404
40,624.477486878834
41,429.7052041575275
42,365.5889752758739
43,448.9743927891233
44,478.8670854260768
45,455.5418380716749
46,377.9181334726899
47,367.0417416569859
48,437.05886907082345
49,445.3502856426041
50,413.31626010079054
51,387.8572094901923
52,477.820016582164
53,706.5438488190723
54,571.6392123925025
55,593.2347894613631
56,459.28412349032374
57,418.29389113924515
58,393.3518348269433
59,405.86447345951285
60,389.83731315892453
61,377.6660083915731
62,405.76096159318047
63,411.3405506873414
64,272.3638300350015
65,446.08449209373725
66,527.9819140110396
67,407.3549393932404
68,410.9318168520797
69,704.7608774958173
70,393.2132874554395
71,421.05731463090274
72,434.63792544720764
73,567.5799029339927
74,423.3356733937493
75,513.3204847619749
76,417.86544244098025
77,405.737205937909
78,560.0436883841082
79,618.2945176961423
80,591.8254032818571
81,378.1303991367395
82,597.0592443088148
83,431.8335092509792
84,523.8903919311896
85,408.56039366137713
86,428.1454214630191
87,418.98330097580276
88,476.0004408221586
89,449.51561994558114
90,377.61379037037005
91,375.1191967154884
92,448.9826069450337
93,713.5971027800198
94,450.85509453897333
95,512.3421021685393
96,553.4788650366809
97,373.1566285027349
98,703.3457417391822
99,412.7517429103806
100,419.1085605546167
101,414.8799341265111
102,467.64457202924746
103,379.3970778283623
104,581.9268851406555
105,396.62065485525864
106,396.4827283650085
107,1003.4845928052957
108,514.1725389594454
109,416.10977372272737
110,441.6708237286667
111,472.86165225098006
112,390.80435779438557
113,548.9513914229658
114,389.6209989217351
115,368.5654980562483
116,733.7531030794287
117,674.3709504802717
118,457.0550495898871
119,377.6980728216547
120,403.2129281206974
121,375.8915372431217
122,407.77863578428645
123,692.5905570394336
124,473.2017046094346
125,380.597044223678
126,504.74497745640815
127,416.3137558434907
128,496.2400376213117
129,382.5540788067532
130,315.2279454027908
131,445.89542572224275
132,992.3848271011634
133,456.92452296058076
134,426.5756930949154
135,622.483142793438
136,419.1551996264452
137,477.02262963778526
138,388.61873926488465
139,444.25070866630733
140,384.20151120843104
141,407.0842952386025
142,478.52142106067396
143,364.52495036368316
144,490.03974590680156
145,441.3950285589937
