,Invariant Mass
0,407.5964404821604
1,312.33707621222436
2,305.1997241826028
3,285.67707882990646
4,514.2568027347941
5,463.2605676778732
6,308.65333994081504
7,313.36714062226037
8,292.08874889459696
9,352.59853620650017
10,376.70830677971514
11,413.58491113798146
12,277.861710600567
13,385.10542056165133
14,324.1642214075939
15,555.7615728646434
16,319.59555554276227
17,316.89206295918154
18,328.73212260796623
19,302.7833125373423
20,300.3794508165944
21,729.0913017158158
22,831.5454991381538
23,276.1152802412689
24,301.7877135923185
25,302.1679084744647
26,296.1823307425101
27,281.26501781263863
28,305.92803226895575
29,845.6349367335489
30,284.3354627324804
31,283.53737149059674
32,324.23925420583663
33,289.0197331115416
34,501.38877266054453
35,351.108556459645
36,277.4272818256857
37,590.5343806111397
38,361.24409376429537
39,449.8503101002306
40,321.1317024070238
41,298.7106797991827
42,272.18555342954915
43,306.05531199024006
44,316.71634777640674
45,359.7660438382582
46,281.0505357849591
47,329.7705652448229
48,312.7433163220332
49,310.1631837338384
50,815.8811336050936
51,603.6206575059043
52,352.3187085464443
53,277.0648326564341
54,474.9876151138091
55,422.29170817309875
56,318.06909616386827
57,284.724390716721
58,362.3734281550026
59,364.6160310100466
60,439.5347484775412
61,271.0047397427886
62,428.31472926996287
63,630.3613808301574
64,336.5256154848932
65,288.1696249628509
66,336.9643565133107
67,318.62941873312013
68,507.6186491500781
69,656.0128276259027
70,316.80462593405446
71,401.23522220042076
72,566.3783696331382
73,312.8276075745852
74,322.9737104873942
75,463.45982944128815
76,285.29980142143955
77,499.25483783219977
78,546.043955395298
79,508.9818366834007
80,331.47819346666836
81,283.40680159637947
82,356.98701668819234
83,319.57350972398814
84,383.01997733300993
85,386.67666731953284
86,280.88318200377404
87,317.6672533733621
88,749.3762919489961
89,203.57780318407953
90,338.8657716663213
91,350.19567863328865
92,324.2474189386132
93,363.2617095808229
94,615.2378531023045
95,371.57125622742893
96,317.6398147904662
97,294.7640942052167
98,309.53206844686076
99,280.8760264679338
100,402.40049566830845
101,329.9962212058881
102,288.3505082981917
103,471.16386150738043
104,410.21550902819286
105,400.9552819790757
106,917.474610873652
107,311.29712265590285
108,364.2046419002059
109,521.6203467187772
110,299.57029993241383
