,Invariant Mass
0,854.4684202610697
1,490.5711583185182
2,584.2565068900158
3,489.95153623205545
4,886.3065130668291
5,759.0147213858024
6,405.0677611598018
7,520.9552110262795
8,577.8181374480849
9,520.363149292129
10,594.1130458362154
11,475.274310397454
12,518.2877327639852
13,896.9917606489302
14,662.6662134073098
15,535.2444015388025
16,461.52828926802647
17,993.956869899145
18,526.3960146453018
19,703.1176172872299
20,452.73969308426445
21,566.0803512092015
22,452.49722908787527
23,521.7775749311132
24,558.6070232555363
25,932.5189150496336
26,567.2829995766563
27,634.667167096237
28,588.640404660703
29,515.8166924899351
30,577.9603793021398
31,455.3580012944401
32,569.519930856008
33,585.1995650544492
34,712.3692192258553
35,481.20263681221553
36,465.5142408402575
37,1162.8839117110465
38,500.59311051169107
39,580.6945599298905
40,461.65349213461764
41,726.4871415062097
42,591.97034766534
43,514.8381268204975
44,572.7349985439276
45,451.2674912755781
46,491.5148780835536
47,470.869999848819
48,458.81293230455674
49,870.9637643665413
50,472.94247867195463
51,560.4941074401949
52,576.1013783700002
53,483.3470302598791
54,510.6764288503051
55,494.079620434182
56,474.838826232418
57,562.2056387474761
58,532.1335954444347
59,661.5541835180675
60,603.5608599522659
61,466.28135894944324
62,900.4392946279572
63,456.3559332139722
64,481.4137889018593
65,457.3176333907764
66,770.6218768718658
67,718.2963361007296
68,552.7115434112694
69,451.0804820894476
70,667.1470071014103
71,510.46642396280777
72,460.90794348041624
73,503.6252567743288
74,587.9361801686341
75,532.0420560765325
76,452.00748885993534
77,714.7179105751826
78,620.7883753283468
79,465.84192031604454
80,462.0800029191551
81,461.9234246962665
82,502.989319192939
83,517.047981940999
84,494.2180526673261
85,880.6294429833987
86,464.4440834021771
87,453.6784865085741
88,426.7268387176527
89,663.6597195221507
90,469.89607443954725
91,729.9682300502838
92,743.0023742047927
93,540.9611429509084
94,530.2086484501343
95,669.8086168431906
96,897.5016499636126
97,506.3854462013235
98,504.320549026607
99,621.1165336929913
100,560.0146967332889
101,555.8533294499116
102,514.2719552726893
103,452.9767158696333
104,495.3839795406359
105,500.0835099027974
106,464.5913055440407
107,572.5932438739362
108,651.4856916767941
109,747.5227707144736
110,958.3924070943457
111,937.9039335391268
112,807.6391432698589
113,487.66433896964475
114,606.4484597844445
115,489.66213891666905
116,662.997069868714
117,566.2661075844441
118,483.38994914335524
119,1083.6046968254514
120,761.9363119649619
121,475.8473662644023
122,481.898115277904
123,469.2644305828129
124,411.3796802107954
125,300.86933099487504
126,712.2985626572855
127,456.50480517868385
128,579.6486789331691
129,545.9627202708995
130,646.2981590109541
131,501.9940568318745
132,562.1845014320515
133,711.8166969190327
134,501.21577575040095
135,615.2844426236414
136,1942.0138964791945
137,457.79626573348264
138,506.3464857242545
139,472.3694011615091
140,688.3096776735428
141,555.5284724091291
142,469.7889262947052
143,645.7190049638562
144,531.2609379734007
145,672.0466210634467
146,482.87331197900124
147,538.492458272949
148,489.0882774847419
149,640.7619765866891
150,461.3417806766196
151,534.0270821991273
152,453.96263636134137
153,1317.9215730349658
154,491.73130905884017
155,590.2169242527905
156,524.6623947427161
157,450.55684648091017
158,806.1313598941304
159,468.9399327436244
160,456.3733626593387
161,519.3466371615851
162,732.0140405652605
163,476.31908121679606
164,491.2351901749972
165,471.34884668700346
166,465.78746465748395
167,515.6287613199606
168,1096.4001495144184
169,459.9611805445341
170,575.9399400772716
171,458.4174818846915
172,537.6370970994969
173,821.5634205173011
174,541.2150757989465
175,741.7397429849996
176,469.75666981231825
177,760.0418855928174
178,548.812238071065
179,519.6558508411819
180,473.36887310283953
181,466.86864831200717
182,912.169223169559
183,496.62979748127105
184,504.4586197952507
185,554.5880658481757
186,511.44423732512365
187,475.2273964024589
188,504.14224977605727
189,625.5849698560487
190,952.6724699140362
191,480.7680179362986
192,604.5859081886708
193,632.2193675295115
194,471.3617343537149
195,468.508911931653
196,541.126011045417
197,859.6192590688157
198,649.3299878901627
199,754.4818937061347
200,662.968487053894
201,766.5208530064616
202,526.4066609409948
203,492.4231613754739
204,512.9219904077218
205,655.7827231055949
206,422.55265576789367
207,561.0453986488723
208,919.6241217507923
209,495.4403385769541
210,578.1349906391891
211,458.9902187733803
212,841.8006494009414
213,1501.216734269116
214,513.2022325056253
215,1128.560154798354
216,535.0761188234347
217,1143.6279048839208
218,452.28197643888245
219,471.1985237375193
220,825.9660555426377
221,568.3375739259927
222,520.3608274205511
223,1000.6318909634481
224,622.6653498100109
225,516.521951366939
226,459.96079771048323
227,657.7318380470157
228,1055.04107573805
229,600.809750549851
230,762.5694163030884
231,514.4404409110059
232,793.1452532974442
233,883.4753646621054
234,790.6360709861443
235,526.3049140375197
236,667.0558367586017
237,913.7482560087975
238,452.5451681675202
239,559.1209522726028
240,465.61638306826103
241,512.5044993802453
242,570.2116260806965
243,536.2577521285849
244,643.8808421642707
245,560.276418372291
246,506.77217130535735
247,479.98720082536
248,1580.2381314365257
249,430.9201258028291
250,453.29483160031884
251,505.43277018916905
252,769.762250356181
253,348.9922192708875
254,543.5464804509879
255,470.4392430083721
256,475.925274087612
257,872.8092762917339
258,483.19695920658563
259,481.84305962444415
260,639.6881822091057
261,502.7405381505815
262,829.3212931491886
263,452.613550695655
264,558.2756279955988
265,502.9982376683064
266,541.1544092714573
267,549.8634892625848
268,659.7274716034786
269,791.1245610464475
270,479.59655443732584
271,596.6970721139419
272,1393.8839834429173
273,464.77417881533745
274,775.7377907058768
275,715.6973226550921
276,600.5965538756946
277,515.9175722983331
278,523.7722323619416
279,517.4204346383797
280,455.9703685514012
281,606.6584734907055
282,499.27212249749095
283,528.1503596925463
284,440.10211631753054
285,622.9022224337677
286,668.2117654452007
287,492.12545587387103
288,561.2257741303308
289,620.417328454177
290,462.3797765354729
291,687.6668423042335
292,500.1226500280957
293,631.2441972992973
294,492.5736135838002
295,608.6645114628258
