,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
113,90.161,86.146,-1.959,-1.727,3.003,-0.08
114,208.791,80.985,0.184,-1.176,1.813,-2.199
115,268.27,66.024,1.762,1.779,1.66,-2.75
116,114.946,64.101,1.74,1.034,1.198,-2.37
117,201.46,174.014,-1.111,-0.523,1.743,-1.469
118,136.507,130.12,-0.603,0.3,1.875,-1.258
119,107.466,92.848,-1.158,-1.427,-2.446,0.639
120,104.226,89.969,1.255,0.873,1.892,-1.071
121,324.232,283.806,-0.319,-1.111,-0.632,2.585
122,124.344,79.575,-0.155,0.25,2.204,-0.737
123,114.328,75.361,-0.319,-0.293,0.841,-2.193
124,169.487,58.204,-0.939,-1.178,1.116,-2.091
125,166.194,127.426,-1.404,-1.244,2.651,1.295
126,127.072,66.621,-2.352,-0.707,-0.711,1.305
127,73.738,73.607,0.287,1.92,0.486,-2.521
128,28.419,21.878,-1.891,2.32,1.991,-1.403
129,167.979,97.098,-1.486,-0.232,1.341,3.098
130,87.735,26.371,-0.405,-0.124,1.724,-0.179
131,144.433,138.103,-1.006,-1.865,-2.424,0.269
132,144.767,100.763,0.4,-1.201,2.114,-1.384
133,117.419,104.71,0.369,0.327,-1.043,2.345
134,61.67,55.62,1.787,-0.368,-2.485,0.74
135,45.307,38.495,-1.039,1.998,-2.97,-0.281
136,86.183,67.814,-1.526,-0.179,-0.166,2.39
137,60.718,56.283,-0.274,1.735,1.301,-1.601
138,167.009,96.389,-1.871,-1.59,-2.149,0.551
139,103.117,102.775,2.305,1.371,1.833,-1.298
140,79.12,59.914,-0.251,-2.002,0.011,-3.13
141,97.35,91.839,-0.514,-0.707,2.365,-1.049
142,128.916,97.246,0.431,0.792,-1.205,2.225
143,83.737,83.051,0.974,-0.285,0.464,-2.684
144,56.108,50.004,-0.546,2.115,0.621,-2.475
145,93.266,38.548,1.952,-0.219,-2.764,0.267
146,95.185,84.834,-0.455,-0.059,-0.207,2.846
147,93.355,90.909,-2.459,-2.134,0.635,-2.691
148,98.971,93.58,-0.19,0.653,0.459,-2.622
149,120.941,107.049,-1.104,-0.667,-2.433,0.769
150,103.144,97.425,-1.279,0.358,-1.772,1.384
151,165.94,160.019,-2.076,-1.101,-0.68,2.527
152,124.955,79.643,0.131,0.707,-2.048,1.105
153,113.979,61.623,1.081,0.2,0.423,-2.58
154,432.136,426.58,-0.082,-0.563,-1.456,1.653
155,36.141,28.303,-1.242,2.091,-2.021,0.897
156,91.408,88.38,-1.052,-0.734,-1.993,1.228
157,105.534,100.265,0.901,1.051,1.843,-1.36
158,192.603,187.559,-1.865,-1.228,0.486,-2.687
159,157.957,87.231,-0.265,0.645,1.725,-1.494
160,81.97,78.219,-0.617,1.372,-1.494,2.067
161,154.818,108.183,-0.2,1.275,-0.979,2.044
162,109.691,90.326,-0.262,0.019,1.3,-1.852
163,161.381,140.532,-0.578,-0.347,0.238,-2.513
164,33.619,24.933,-2.001,1.848,3.074,0.737
165,164.875,106.596,0.93,1.003,-0.021,-2.768
166,87.381,87.243,0.653,1.124,1.898,-1.269
167,47.885,44.59,2.105,-0.406,-3.136,0.21
168,125.581,118.279,-0.833,0.575,3.044,0.036
169,74.288,64.066,0.43,-1.098,-2.213,0.839
170,96.115,96.014,1.427,0.387,1.603,-1.607
171,117.316,116.056,-0.064,-1.016,3.084,-0.044
172,91.65,54.512,-0.293,1.711,2.673,-0.647
173,93.674,93.247,-0.087,0.041,-2.25,0.771
174,176.482,121.763,0.334,0.304,1.424,-1.48
175,160.723,131.411,2.123,1.499,-1.804,1.553
176,95.636,79.721,0.433,0.262,1.66,-1.303
177,100.013,85.507,-0.878,-1.206,0.14,-2.818
178,68.511,67.583,-1.981,-0.235,0.231,-3.109
179,114.823,96.287,-1.953,-1.697,-1.241,1.899
180,108.128,103.614,0.383,-1.436,-1.53,1.498
181,92.89,88.513,1.729,0.297,0.358,-2.785
182,62.952,60.305,0.896,-0.923,-0.332,2.971
183,128.259,111.265,0.892,0.99,-0.363,2.274
184,134.657,129.155,-1.322,0.23,2.111,-1.169
185,48.391,45.811,-2.096,0.847,2.753,-0.458
186,122.396,115.78,-1.071,0.113,-2.081,0.963
187,98.406,89.012,-1.117,-0.105,-2.865,0.362
188,97.788,81.79,-0.551,0.756,-2.243,0.805
189,85.064,62.409,1.458,0.194,1.413,-1.879
190,113.621,101.509,0.305,-0.379,2.735,-0.38
191,124.57,81.611,0.138,-0.533,-1.145,2.23
192,103.489,67.987,1.424,-0.352,-1.855,0.627
193,115.464,108.851,0.974,2.095,-0.068,3.054
194,78.488,71.137,-1.442,0.188,0.824,-2.055
195,141.246,100.933,0.785,-0.116,2.765,-0.446
196,96.949,91.911,2.057,1.939,0.2,-2.943
197,278.916,275.841,-1.477,-1.048,-1.671,1.428
198,96.849,87.647,0.22,0.636,1.571,-1.406
199,79.59,75.717,2.299,1.209,2.189,-0.937
200,110.144,95.61,0.183,0.368,-2.105,1.144
201,241.539,48.129,-0.018,-0.065,1.207,-1.324
202,88.503,80.029,1.505,-0.407,-1.25,1.687
203,89.834,86.409,0.244,0.013,0.628,-2.638
204,125.446,105.649,0.337,-0.873,1.325,-1.895
205,116.899,80.274,0.783,0.971,-0.084,2.809
206,80.657,80.197,2.492,-0.647,-0.35,3.051
207,59.883,37.773,-1.141,1.074,-2.476,1.012
208,140.506,92.612,-1.679,-1.85,0.578,-2.869
209,123.458,93.441,-0.028,-0.784,2.841,-0.395
210,145.807,131.054,-2.449,-1.68,-0.056,2.905
211,91.404,91.139,-0.933,-0.737,-2.448,0.691
