,Momenta,Eta,Phi
84,"[219.21, 213.911]","[0.091, -0.115]","[0.523, -2.731]"
85,"[550.214, 101.123]","[-1.082, 0.094]","[-2.9, 2.201]"
86,"[159.746, 136.943]","[-0.748, 0.995]","[0.122, -3.115]"
87,"[261.432, 155.107]","[-0.495, -0.99]","[2.114, -1.156]"
88,"[371.236, 110.662]","[-1.606, -1.785]","[0.559, -2.264]"
89,"[267.384, 145.35]","[-1.097, -1.334]","[1.984, -1.191]"
90,"[194.977, 164.216]","[0.022, 1.139]","[-2.656, -0.063]"
91,"[229.009, 202.214]","[-0.53, 0.318]","[0.042, -1.822]"
92,"[267.409, 124.945]","[-1.069, -2.073]","[0.964, -2.849]"
93,"[220.684, 167.233]","[0.703, 1.309]","[-2.738, 1.049]"
94,"[206.207, 166.134]","[0.866, 1.769]","[1.97, -1.094]"
95,"[334.765, 146.015]","[0.154, 0.398]","[-0.373, -2.642]"
96,"[226.761, 156.049]","[0.781, -0.196]","[-2.464, -0.004]"
97,"[203.375, 184.338]","[0.369, 0.317]","[0.525, -2.388]"
98,"[213.89, 180.941]","[0.946, 0.751]","[-2.847, 0.21]"
99,"[210.205, 146.101]","[-0.334, 0.886]","[-1.254, 2.171]"
100,"[172.23, 163.996]","[-0.835, 0.42]","[1.374, -1.796]"
101,"[81.658, 73.477]","[1.65, -0.925]","[1.28, -2.397]"
102,"[220.867, 182.755]","[1.125, 0.952]","[1.352, -1.921]"
103,"[222.914, 162.991]","[0.309, -0.255]","[-0.198, 3.003]"
104,"[341.455, 115.24]","[-1.263, -0.875]","[0.215, -2.703]"
105,"[210.119, 203.632]","[1.858, 1.605]","[-0.493, 2.942]"
106,"[250.651, 193.289]","[-1.766, -1.697]","[1.195, -3.061]"
107,"[368.329, 275.284]","[1.053, 0.874]","[-1.461, 1.166]"
108,"[238.172, 174.827]","[-0.584, -0.823]","[2.978, 0.312]"
109,"[146.953, 136.889]","[-1.462, 0.282]","[-0.457, 2.452]"
110,"[215.295, 171.109]","[0.625, 0.171]","[0.516, -2.768]"
111,"[358.214, 81.492]","[0.571, -0.548]","[2.077, -0.688]"
112,"[682.142, 66.316]","[-0.33, 0.896]","[-2.396, 0.678]"
113,"[153.092, 153.063]","[-0.262, 1.256]","[0.335, -3.104]"
114,"[228.135, 177.381]","[-1.398, -0.579]","[-1.961, 2.192]"
115,"[227.244, 221.964]","[1.228, 0.099]","[1.29, -1.626]"
116,"[210.6, 181.987]","[-1.939, -1.617]","[2.544, -0.491]"
117,"[229.454, 179.79]","[0.47, 0.144]","[2.724, -0.758]"
118,"[231.656, 207.22]","[-1.213, -0.625]","[1.023, -1.068]"
119,"[221.801, 170.42]","[0.56, 0.794]","[2.297, -0.985]"
120,"[354.942, 120.707]","[-1.287, -1.639]","[0.163, 2.754]"
121,"[206.612, 185.078]","[-1.317, -1.743]","[-2.376, 0.788]"
122,"[107.864, 95.726]","[-0.503, 2.07]","[1.078, -2.013]"
123,"[209.959, 157.785]","[-1.356, -2.284]","[-1.693, 1.217]"
124,"[171.399, 169.909]","[-1.079, -0.017]","[-2.015, 1.167]"
125,"[169.481, 157.681]","[1.31, -0.007]","[-0.009, 3.125]"
126,"[204.507, 103.972]","[-0.461, -2.369]","[-0.735, 1.154]"
127,"[218.028, 188.287]","[-0.762, -0.544]","[1.268, -1.684]"
128,"[198.891, 149.471]","[0.7, 1.899]","[-2.472, 0.322]"
129,"[200.583, 199.44]","[-0.43, -0.557]","[-0.949, 2.141]"
130,"[202.952, 193.864]","[0.305, 0.555]","[-0.564, 2.63]"
131,"[191.113, 175.155]","[2.028, 1.933]","[3.119, 0.14]"
132,"[227.727, 156.186]","[-0.91, -0.416]","[0.088, -2.922]"
133,"[218.773, 202.613]","[0.786, 1.109]","[-0.954, 2.134]"
134,"[166.208, 120.0]","[-0.501, -2.374]","[2.139, -0.799]"
135,"[253.18, 127.864]","[-0.027, -1.102]","[-1.417, 0.992]"
136,"[948.849, 929.529]","[0.85, 0.661]","[1.243, -1.85]"
137,"[233.7, 198.816]","[-0.917, -0.137]","[-2.543, -0.615]"
138,"[139.039, 134.476]","[-1.005, 0.854]","[1.849, -0.991]"
139,"[209.552, 156.959]","[0.514, -0.573]","[-0.65, -2.884]"
140,"[347.881, 172.485]","[-0.196, -0.037]","[3.115, 1.209]"
141,"[196.116, 191.934]","[0.388, 0.16]","[0.88, -2.182]"
142,"[210.584, 167.457]","[-0.198, 0.732]","[-0.267, -3.023]"
143,"[268.516, 176.217]","[0.684, -0.591]","[-1.738, -0.418]"
144,"[202.788, 191.757]","[0.605, 0.756]","[2.523, -0.733]"
145,"[199.245, 185.787]","[1.252, 0.779]","[1.77, -1.46]"
146,"[186.704, 148.35]","[-0.663, -1.814]","[-2.498, 0.729]"
147,"[407.139, 360.862]","[-1.383, -1.406]","[1.268, 2.376]"
148,"[196.513, 177.648]","[0.396, -0.377]","[0.578, -2.606]"
149,"[373.67, 103.119]","[-0.442, -1.448]","[-0.746, -2.927]"
150,"[206.533, 196.074]","[0.554, -0.135]","[-1.423, 1.331]"
151,"[190.006, 170.569]","[0.655, 1.424]","[2.135, -0.927]"
152,"[181.643, 166.632]","[1.703, 0.56]","[-2.213, 0.948]"
153,"[199.051, 169.486]","[1.527, 2.306]","[0.747, -2.531]"
154,"[172.678, 169.221]","[0.174, -0.33]","[-1.227, 2.159]"
155,"[263.159, 145.384]","[0.589, 0.177]","[1.355, -1.853]"
156,"[121.054, 110.499]","[0.624, -1.807]","[1.775, -1.409]"
