,Momenta,Eta,Phi
84,"[208.306, 204.971]","[2.28, -0.597]","[0.266, -2.644]"
85,"[491.537, 425.4]","[1.11, -0.317]","[-1.54, 1.779]"
86,"[234.426, 227.18]","[-0.66, 2.075]","[-0.208, 2.836]"
87,"[555.277, 504.522]","[0.437, 0.014]","[-2.792, 0.408]"
88,"[523.621, 517.168]","[0.373, 1.339]","[-1.56, 1.571]"
89,"[895.546, 887.703]","[-0.208, 0.057]","[0.46, -2.653]"
90,"[694.792, 680.403]","[1.067, 0.892]","[0.733, -2.401]"
91,"[534.07, 510.226]","[1.168, 1.529]","[1.731, -1.466]"
92,"[539.287, 536.364]","[-0.712, -1.109]","[-0.174, 3.009]"
93,"[219.568, 206.569]","[-1.696, 1.321]","[0.177, -3.031]"
94,"[335.111, 333.883]","[-1.476, 0.345]","[-1.967, 1.205]"
95,"[723.385, 678.722]","[0.957, -0.666]","[0.549, -2.539]"
96,"[544.839, 543.01]","[-1.668, -1.352]","[-3.126, 0.011]"
97,"[780.203, 772.009]","[0.88, -1.343]","[1.585, -1.544]"
98,"[636.722, 628.485]","[0.535, 1.153]","[0.673, -2.464]"
99,"[456.063, 386.633]","[-2.203, -0.41]","[0.251, -3.06]"
100,"[382.359, 336.999]","[-0.645, 1.258]","[-0.699, 2.458]"
101,"[548.777, 497.287]","[1.341, -0.14]","[-0.026, 3.1]"
102,"[247.778, 244.648]","[1.467, -0.999]","[2.734, -0.401]"
103,"[594.041, 566.234]","[1.318, 0.527]","[-1.385, 1.643]"
104,"[346.483, 319.97]","[0.117, 1.919]","[-2.294, 0.943]"
105,"[569.276, 552.587]","[1.729, 1.268]","[1.251, -1.879]"
106,"[338.003, 240.54]","[-0.283, 2.437]","[3.094, 0.408]"
107,"[471.304, 453.539]","[-1.735, -1.89]","[-1.153, 2.041]"
108,"[180.255, 148.163]","[-2.398, 2.467]","[1.7, -1.574]"
109,"[387.678, 382.281]","[0.474, -1.232]","[0.478, -2.691]"
110,"[445.478, 428.477]","[0.367, -0.854]","[-2.069, 1.088]"
111,"[433.026, 424.111]","[1.591, 0.864]","[0.477, -2.836]"
112,"[371.424, 285.986]","[0.088, -2.133]","[2.212, -0.531]"
113,"[464.644, 441.377]","[1.433, 0.248]","[0.366, -2.731]"
114,"[484.439, 481.88]","[0.357, 0.019]","[-3.003, 0.212]"
115,"[448.558, 435.685]","[0.453, -0.204]","[2.625, -0.506]"
116,"[616.741, 537.582]","[0.111, -1.716]","[0.44, 2.9]"
117,"[384.614, 336.241]","[-2.252, -0.079]","[0.656, -2.107]"
118,"[688.28, 563.841]","[-0.434, 0.03]","[1.261, -2.226]"
119,"[671.055, 599.927]","[1.062, 0.448]","[2.563, -0.629]"
120,"[272.482, 260.034]","[1.322, -1.458]","[-0.896, 2.224]"
121,"[320.198, 273.026]","[1.05, -0.92]","[3.066, 0.122]"
122,"[418.03, 395.577]","[-0.694, 1.207]","[0.486, -2.593]"
123,"[269.022, 172.287]","[2.311, -0.718]","[-2.51, 0.727]"
124,"[726.098, 436.467]","[-1.354, -1.293]","[1.71, -1.203]"
125,"[369.825, 345.531]","[1.367, -0.123]","[2.303, -0.913]"
126,"[676.933, 668.302]","[-0.066, -0.264]","[-1.958, 1.179]"
127,"[423.662, 395.244]","[-0.378, -1.64]","[-3.078, 0.017]"
128,"[497.509, 471.355]","[0.716, -0.306]","[-1.151, 2.059]"
129,"[218.607, 199.856]","[1.7, -1.316]","[2.689, -0.501]"
130,"[474.618, 471.705]","[0.942, 1.629]","[-0.119, 3.008]"
131,"[220.256, 220.177]","[2.084, -0.661]","[-0.797, 2.176]"
132,"[461.214, 453.11]","[-0.284, -1.042]","[-3.106, 0.025]"
133,"[696.455, 685.545]","[2.287, 1.263]","[-2.355, 0.785]"
134,"[440.019, 425.49]","[2.12, 0.768]","[-2.334, 0.761]"
135,"[316.671, 302.534]","[0.352, 2.27]","[0.424, -2.903]"
136,"[715.224, 690.587]","[0.033, 0.012]","[-1.17, 1.987]"
137,"[454.596, 385.884]","[-1.531, -0.587]","[-2.278, 0.882]"
138,"[565.252, 523.31]","[-2.432, -0.639]","[-0.44, 2.715]"
139,"[296.921, 271.388]","[0.06, -2.372]","[-3.131, 0.107]"
140,"[459.462, 449.239]","[-0.238, 0.452]","[0.164, -2.957]"
141,"[421.014, 393.893]","[-1.42, -0.413]","[-1.92, 1.267]"
142,"[374.286, 343.255]","[-1.059, 0.985]","[1.031, -2.23]"
143,"[459.385, 443.851]","[-1.643, -1.848]","[-1.032, 2.105]"
144,"[329.929, 317.285]","[-1.143, 1.08]","[-1.222, 1.975]"
145,"[205.943, 130.661]","[1.874, -1.883]","[2.86, 1.483]"
146,"[514.33, 508.579]","[-0.542, -0.008]","[-2.384, 0.788]"
147,"[665.597, 642.21]","[-1.121, -0.025]","[1.302, -1.806]"
148,"[363.361, 343.812]","[-0.126, -1.782]","[-2.305, 0.758]"
149,"[429.828, 394.567]","[0.742, -0.689]","[-0.925, 1.799]"
150,"[499.808, 480.632]","[-1.38, -2.246]","[-2.329, 0.802]"
151,"[712.02, 708.909]","[0.704, 1.064]","[1.04, -2.192]"
152,"[451.326, 439.645]","[0.086, 1.445]","[0.126, -3.085]"
153,"[668.291, 642.502]","[1.201, 0.048]","[0.705, -2.374]"
154,"[479.903, 459.658]","[0.296, 1.82]","[2.52, -0.637]"
155,"[843.782, 821.124]","[-0.738, -0.816]","[-2.292, 0.785]"
156,"[345.014, 185.096]","[-0.731, 2.137]","[-1.411, 1.841]"
157,"[484.536, 433.063]","[-2.423, -2.107]","[0.374, 3.129]"
158,"[278.667, 277.218]","[1.034, -1.379]","[1.526, -1.839]"
159,"[487.321, 322.469]","[-0.732, 0.563]","[-1.507, 1.845]"
160,"[513.333, 465.496]","[-1.638, 0.545]","[1.014, -2.098]"
161,"[625.693, 560.496]","[1.17, 1.216]","[1.147, -1.72]"
162,"[560.292, 539.924]","[0.55, -0.747]","[-0.796, 2.477]"
163,"[543.084, 520.77]","[-0.591, 0.054]","[0.055, 3.081]"
164,"[743.655, 734.019]","[-1.333, -0.496]","[-2.349, 0.791]"
165,"[515.61, 463.924]","[-0.318, -1.6]","[0.24, -2.619]"
166,"[633.946, 586.328]","[-0.733, 0.33]","[0.343, 3.0]"
167,"[427.662, 416.134]","[-0.176, 1.301]","[-1.244, 1.924]"
168,"[464.469, 452.412]","[-0.142, 0.402]","[2.096, -1.034]"
169,"[528.554, 493.011]","[1.021, 0.126]","[1.023, -2.355]"
170,"[466.809, 427.774]","[-1.184, -0.442]","[0.992, -2.147]"
171,"[555.258, 553.835]","[1.348, -0.1]","[2.62, -0.58]"
172,"[435.435, 426.576]","[0.908, 1.949]","[0.17, -2.976]"
173,"[431.285, 334.105]","[1.272, -0.416]","[2.227, -0.587]"
174,"[363.792, 358.023]","[-1.136, 0.591]","[1.761, -1.434]"
175,"[334.217, 333.178]","[0.609, -1.716]","[1.759, -1.257]"
176,"[759.003, 744.035]","[0.52, 0.345]","[-3.054, 0.194]"
177,"[533.904, 517.179]","[1.08, 1.081]","[0.772, -2.324]"
178,"[367.705, 350.138]","[-1.754, -0.157]","[-0.562, 2.568]"
179,"[435.778, 399.478]","[0.99, 2.42]","[-0.651, 2.048]"
180,"[302.645, 148.051]","[-1.804, 1.021]","[-1.442, 0.914]"
181,"[490.659, 475.075]","[-0.534, -1.025]","[-2.196, 1.041]"
182,"[643.101, 567.857]","[-0.936, 0.453]","[-2.529, 0.781]"
183,"[164.446, 150.262]","[-1.836, 1.674]","[-1.573, 1.805]"
184,"[417.683, 217.38]","[-2.372, 0.16]","[-2.567, 0.63]"
185,"[226.921, 218.827]","[-1.943, 0.888]","[-2.975, 0.081]"
186,"[527.712, 518.112]","[1.337, 0.721]","[-2.73, 0.401]"
187,"[418.5, 411.349]","[-1.327, -0.491]","[2.333, -0.854]"
188,"[1131.699, 1077.824]","[-0.438, -1.034]","[-0.9, 2.239]"
189,"[464.011, 436.787]","[-1.745, -1.157]","[2.045, -1.142]"
190,"[656.948, 636.391]","[0.025, -0.874]","[-2.284, 0.821]"
191,"[427.063, 419.756]","[0.552, -0.57]","[1.159, -1.955]"
192,"[442.195, 425.32]","[0.236, -0.351]","[-2.331, 0.888]"
193,"[830.736, 824.479]","[-0.329, -0.119]","[1.989, -1.153]"
194,"[314.627, 298.412]","[0.313, 2.246]","[-2.408, 0.753]"
195,"[213.756, 196.997]","[-1.342, 1.515]","[-0.34, 2.224]"
196,"[503.18, 497.219]","[1.443, 1.746]","[3.043, -0.116]"
