,Momenta 1,Momenta 2,Eta 1,Eta 2,Phi 1,Phi 2
112,259.83,215.955,-0.348,-2.46,-1.598,1.58
113,463.692,436.644,0.523,0.618,-2.355,0.844
114,299.051,297.037,-1.759,-0.257,1.657,-1.511
115,269.29,91.226,0.95,-2.145,-1.955,-0.185
116,338.784,334.364,-0.769,0.56,1.844,-1.238
117,371.123,365.191,-0.383,-1.955,2.775,-0.372
118,435.086,289.76,1.214,0.411,0.485,-2.926
119,200.778,181.147,1.282,-1.334,-2.945,0.287
120,520.578,511.753,0.531,1.198,-2.513,0.64
121,331.811,322.578,2.061,0.722,-1.801,1.358
122,387.83,316.03,0.744,0.99,-1.527,1.575
123,311.507,299.349,0.627,-1.108,-1.586,1.592
124,301.329,248.267,-0.279,1.751,1.37,-1.84
125,518.497,494.025,-0.877,-1.756,-2.319,0.789
126,1093.915,1055.641,0.325,-1.051,0.532,-2.589
127,296.85,284.691,0.512,-0.991,-0.881,2.378
128,347.694,337.654,0.624,0.612,2.178,-0.966
129,513.654,474.922,0.61,0.479,-0.044,-3.089
130,351.647,337.62,-0.555,1.392,2.857,-0.356
131,225.831,197.339,1.934,-0.918,-2.961,0.294
132,336.195,315.413,-2.225,-1.135,-2.981,0.149
133,322.443,304.63,-0.18,-1.184,1.17,-1.985
134,229.739,228.816,-2.437,-0.657,1.46,-1.789
135,326.431,325.645,1.646,0.242,-2.956,0.154
136,393.038,350.836,1.324,-0.083,-2.359,0.876
137,322.131,307.129,0.05,-0.923,2.325,-0.801
138,388.583,370.879,1.375,-0.612,-1.076,2.087
139,513.55,485.951,1.085,-0.533,-0.235,3.023
140,264.805,246.442,2.131,0.114,2.703,-0.211
141,484.267,481.584,-0.659,0.05,2.056,-1.093
142,206.717,148.189,-1.69,0.784,-0.512,2.892
143,346.712,290.85,-1.155,-0.502,1.695,-1.411
144,302.597,273.607,0.407,-1.249,0.495,-3.046
145,333.626,318.986,-0.413,0.792,3.119,-0.059
146,371.418,212.13,0.751,1.999,-1.823,0.965
147,388.834,291.528,-1.078,-0.394,2.959,0.199
148,683.42,681.005,-1.092,-0.733,2.517,-0.628
149,350.4,332.859,-0.362,0.005,2.548,-0.495
150,243.057,93.972,1.753,-1.145,2.243,0.487
151,121.511,112.021,1.392,-2.181,1.113,-1.856
152,282.462,274.192,-1.554,-0.182,-0.433,2.519
153,285.27,241.214,0.352,-1.077,-1.755,1.135
154,400.708,396.974,-0.144,0.115,0.516,-2.631
155,377.794,332.754,1.854,2.304,3.078,-0.461
156,245.66,241.269,-2.465,0.536,-0.893,2.297
157,212.647,209.634,-2.064,-0.031,-1.385,1.731
158,464.174,362.448,-0.717,1.047,1.088,-1.284
159,346.191,317.662,-0.332,-1.646,-2.505,0.538
160,276.778,268.602,-1.527,-0.116,-2.696,0.437
161,331.081,322.259,0.339,-0.833,2.803,-0.323
162,264.442,262.627,-0.692,0.845,-1.305,1.931
163,293.799,265.96,-0.794,-0.223,2.792,-0.559
164,299.638,269.982,-0.69,-1.949,-0.676,2.519
165,202.83,133.531,-1.37,1.409,-0.001,2.904
166,198.963,164.448,-1.206,1.241,2.56,-0.713
167,320.566,311.451,-0.214,0.91,0.649,-2.518
168,352.165,339.094,-2.05,-0.608,0.611,-2.579
169,360.665,305.8,-1.051,-1.242,2.291,-1.136
170,310.304,235.804,0.098,0.872,-0.921,2.18
171,330.234,154.37,0.933,-1.419,1.855,1.932
172,123.833,109.327,-2.299,1.918,2.249,-0.697
173,304.206,294.239,0.774,1.741,-0.135,3.031
174,374.509,354.996,0.144,0.855,1.969,-1.247
175,429.004,421.714,-0.274,-0.151,0.601,-2.53
176,391.209,384.337,1.315,1.168,0.768,-2.24
177,271.165,254.926,-1.168,1.049,-1.09,2.066
178,330.657,328.829,0.876,1.819,1.629,-1.515
179,287.703,251.125,1.185,-0.128,-1.005,2.126
180,364.909,324.936,0.33,1.393,-1.197,1.966
181,380.368,369.904,0.056,1.011,-2.321,0.71
182,387.105,386.575,-1.888,-0.239,2.077,-1.025
183,315.313,272.982,-1.844,-0.733,2.302,-0.99
184,201.226,193.47,-0.918,2.381,3.129,-0.079
185,234.339,233.482,0.607,-1.292,0.619,-2.391
186,343.149,319.793,-0.814,-1.734,2.662,-0.473
187,264.153,223.9,-0.627,-0.609,2.923,-0.721
188,421.651,395.841,0.71,0.577,0.185,-3.01
189,209.604,184.537,-0.992,2.149,1.464,-1.767
190,374.401,353.213,0.978,-0.773,-2.145,0.889
191,315.3,286.923,-1.503,-0.253,-2.866,0.264
192,273.38,264.507,-0.692,1.033,-2.533,0.572
193,217.895,198.759,-0.984,1.864,-2.755,0.532
194,333.365,333.03,-0.237,-0.282,-2.942,0.198
195,307.395,302.373,1.735,0.337,-2.734,0.435
196,287.028,279.657,0.561,2.276,-0.007,3.127
197,274.283,252.954,-0.661,0.93,0.452,-2.783
198,131.425,120.787,1.147,-2.246,-2.534,0.534
199,530.876,527.147,-0.737,0.147,-0.815,2.326
200,642.455,215.946,0.928,0.283,2.952,0.327
201,331.602,313.687,0.917,0.485,1.336,-1.964
202,435.351,222.716,1.975,1.164,3.104,0.037
203,299.072,278.788,-0.087,2.001,-0.218,2.896
204,323.275,234.297,-1.45,0.021,-1.559,1.317
205,405.837,328.008,0.025,-0.988,1.502,-2.049
206,318.922,309.918,-1.97,-1.347,0.875,-2.278
207,262.563,250.417,0.033,-1.626,2.925,-0.256
208,218.075,116.372,1.615,-1.266,0.836,2.677
209,379.515,378.884,1.73,0.603,-1.148,2.005
210,488.107,419.626,0.219,0.373,-2.75,0.403
211,152.444,139.254,1.36,-1.937,2.327,-0.892
212,347.973,269.65,-1.555,0.887,1.558,-1.663
213,345.588,330.342,-0.465,0.399,2.545,-0.703
214,527.746,490.928,-0.64,-0.719,-0.783,2.336
215,393.263,378.191,0.959,0.933,-0.871,1.98
216,478.859,432.011,0.597,1.954,-2.102,1.233
217,293.719,286.539,-0.49,-1.583,1.439,-1.986
218,256.72,241.737,0.885,-0.744,0.693,-2.536
219,319.704,309.058,-1.01,-0.369,0.43,-2.692
220,368.887,302.162,-0.971,-2.353,-2.283,0.626
221,349.822,327.433,0.586,-0.401,1.405,-1.682
222,329.399,328.023,-0.235,0.327,-1.185,1.938
223,388.246,363.18,-2.136,0.309,2.543,-1.19
224,669.446,648.478,1.468,0.989,1.995,-0.854
225,332.668,276.282,0.357,1.511,2.531,-0.558
226,175.7,166.893,2.049,-0.893,-2.026,1.019
227,353.716,352.017,1.693,2.141,1.982,-1.107
228,370.884,361.911,1.346,0.407,-1.359,1.762
229,280.056,272.718,0.174,-1.249,0.581,-2.642
230,371.778,347.701,-0.679,-0.158,-2.8,0.212
231,378.73,375.136,-1.254,-0.595,-0.532,2.707
232,342.616,313.863,2.004,0.002,0.752,-2.268
233,326.825,317.609,1.809,1.511,2.847,-0.269
234,303.071,289.116,-2.463,-0.772,-3.046,0.109
235,352.727,337.624,-0.503,-0.803,-1.509,1.682
236,279.685,265.667,-0.3,-1.635,-2.734,0.394
237,374.315,336.489,1.634,1.078,1.65,-1.523
238,543.681,271.637,-0.915,-0.473,-2.201,1.05
239,258.581,247.152,1.93,-0.021,2.291,-0.988
240,324.34,324.209,-0.682,-2.193,2.182,-0.996
241,348.312,347.054,0.387,0.733,2.893,-0.209
242,300.117,242.427,-1.14,0.188,1.065,-2.092
243,215.758,186.537,-1.65,0.581,-2.399,0.785
244,349.76,343.02,-1.663,-2.274,-1.954,1.183
245,469.29,440.901,-0.336,-0.252,-0.1,3.013
246,449.537,436.529,-0.593,1.047,1.093,-2.081
247,405.846,172.403,-0.834,1.19,1.315,2.486
248,364.866,364.246,1.393,1.941,2.552,-0.593
249,288.445,281.205,1.368,0.025,-1.499,1.66
250,232.28,220.425,-1.355,1.264,-3.053,0.022
251,560.766,560.294,0.76,1.222,1.341,-1.771
252,206.201,202.105,2.137,-0.453,-2.675,0.558
253,339.846,293.317,0.212,-0.277,-3.073,0.045
254,319.971,269.315,0.031,1.192,2.481,-0.994
255,296.314,290.802,-1.392,-0.087,-2.934,0.196
256,318.963,300.563,-0.265,1.18,-1.593,1.571
257,324.712,323.26,-0.933,-0.072,1.096,-2.076
258,451.047,436.298,0.351,0.211,-0.264,2.866
259,339.802,325.124,1.086,1.936,1.356,-1.521
260,265.522,228.174,1.869,-0.903,-1.757,1.426
261,347.609,334.873,-1.861,-0.57,0.986,-2.148
262,194.769,193.173,-1.141,1.766,-2.893,0.217
263,313.57,241.964,-1.504,0.796,0.215,-1.747
264,167.594,156.272,1.735,-1.092,1.474,-1.815
265,207.992,206.689,-0.764,1.452,-2.551,0.6
266,476.929,458.387,-0.708,-0.529,1.635,-1.445
267,512.06,43.118,0.511,-2.421,1.987,3.004
268,1003.375,984.468,0.854,1.089,2.387,-0.759
269,213.944,204.457,-1.033,1.125,-2.778,0.692
270,160.479,156.269,1.375,-1.343,2.451,-0.491
271,339.315,225.312,1.061,-0.595,-0.649,2.593
272,355.672,348.294,0.843,2.137,-0.17,2.796
273,392.837,368.482,1.253,0.534,-2.76,0.345
274,398.873,393.882,1.337,2.113,1.205,-1.965
275,297.46,280.642,0.472,-0.805,-1.272,1.828
276,543.165,541.823,-0.512,-0.441,-2.788,0.292
277,780.065,142.72,1.466,0.808,0.129,-3.059
278,350.632,334.182,-1.405,-1.395,-0.897,2.245
279,323.134,284.461,0.134,2.196,-2.684,0.332
280,283.489,270.792,-1.919,0.049,-0.939,2.116
281,323.75,290.306,-0.954,-1.996,-0.117,2.914
282,194.074,175.299,-0.716,2.319,0.765,-3.072
283,306.162,266.169,1.384,-0.048,0.02,-3.13
284,327.818,327.215,-0.58,0.043,-0.497,2.567
285,280.623,277.56,2.426,1.187,-2.454,0.666
286,563.539,503.676,-0.06,-0.239,-1.992,0.647
287,250.8,192.775,0.701,-1.834,3.061,-0.119
288,495.385,194.284,0.129,-1.436,-2.962,-0.71
289,385.03,378.118,-1.168,-2.021,2.674,-0.575
290,326.756,292.837,-1.237,1.494,2.767,-0.366
291,571.743,570.595,0.336,0.05,0.56,-2.57
292,224.029,214.749,-0.742,1.182,0.767,-2.388
293,360.869,342.693,-0.514,-0.196,2.602,-0.556
294,311.484,293.558,-1.774,-0.666,1.317,-1.895
295,230.897,227.87,-0.476,-2.275,-2.108,0.903
296,473.407,421.883,0.247,-0.078,-2.579,0.737
297,300.036,266.415,-2.127,0.353,2.995,-0.193
298,507.989,506.26,1.006,-0.333,0.154,-3.069
299,342.623,341.135,1.426,0.56,-2.911,0.209
300,215.639,211.233,2.078,0.02,2.712,-0.391
301,811.836,795.823,0.399,0.614,-2.926,0.229
302,465.719,444.249,-1.576,-1.389,-1.536,1.629
303,245.653,231.872,1.573,-0.236,-2.391,0.831
304,608.57,431.722,1.08,1.546,1.577,-1.732
305,336.132,331.598,-0.523,-0.632,2.62,-0.631
306,440.111,391.758,-1.293,-0.858,-1.02,2.544
307,274.645,256.83,2.12,-0.945,-0.87,2.09
308,450.151,449.987,1.786,1.772,1.5,-1.56
309,265.492,194.128,2.15,0.089,1.363,-2.2
310,326.478,314.818,1.974,1.442,-0.453,2.715
311,362.244,337.464,0.663,1.315,-1.016,2.133
312,397.324,392.434,-0.332,-1.184,-0.959,2.254
313,480.867,420.255,0.809,-1.091,-2.152,0.55
314,523.214,430.156,1.036,-0.621,0.668,-2.505
315,255.768,248.346,-0.325,1.21,-0.906,2.14
316,172.218,52.695,1.347,-1.654,-0.206,2.645
317,440.807,393.542,1.041,0.716,-1.325,1.18
318,404.715,384.861,-0.141,0.722,1.137,-2.458
319,369.97,349.865,-2.288,-1.566,3.095,-0.04
320,290.143,258.599,0.759,-0.538,0.432,-2.483
321,394.49,387.578,-0.412,-1.236,-1.87,1.418
322,415.03,279.166,-1.108,-0.539,-1.1,1.854
323,342.51,336.557,1.258,1.489,-1.95,1.209
324,462.937,423.991,0.098,0.302,-0.483,2.226
325,1117.717,1115.108,0.737,-0.632,-2.249,0.935
326,381.913,356.349,-1.2,-2.344,-2.293,0.759
327,388.504,314.743,0.371,-1.278,-1.673,1.47
328,151.79,121.915,0.899,-2.382,2.584,-0.325
329,166.491,162.377,-2.11,0.938,2.753,-0.319
330,344.966,329.668,0.073,-0.714,-2.761,0.361
331,511.397,495.994,0.402,2.156,-1.004,2.024
332,167.675,165.911,1.723,-0.985,0.368,-2.734
333,188.78,134.016,-0.368,2.369,0.153,-2.404
334,286.973,284.391,0.093,-1.162,-0.02,3.111
335,138.593,98.723,1.328,-2.101,-2.056,-0.584
336,524.351,516.477,-1.416,-0.44,0.607,-2.507
337,616.307,601.89,-0.406,0.712,-1.912,1.241
338,327.972,325.649,0.219,0.318,1.025,-2.11
339,511.632,505.547,0.297,1.061,1.915,-1.288
340,313.537,304.39,-0.891,-1.691,-2.642,0.452
341,385.254,376.329,1.177,2.013,-2.22,0.855
342,165.485,159.896,1.201,-1.444,2.198,-0.888
343,296.226,280.217,-1.023,-2.229,1.83,-1.279
344,313.225,311.675,0.495,1.284,0.987,-2.167
345,133.909,108.483,-1.831,1.845,1.661,-1.554
346,339.549,283.985,0.24,0.987,1.84,-1.719
347,230.737,230.212,-2.274,-0.474,-0.998,2.149
348,350.996,328.926,-1.17,-0.677,-1.927,1.193
349,377.365,353.961,0.193,2.161,0.306,-2.847
350,397.222,389.9,-0.873,-0.303,2.393,-0.586
351,333.775,295.671,0.002,-1.527,3.015,-0.279
352,258.263,249.279,2.251,0.537,0.391,-2.752
353,389.035,377.044,-0.787,0.2,1.55,-1.547
354,569.344,561.919,-2.111,-0.706,0.31,-2.792
355,353.415,339.721,-1.071,-0.24,-0.908,2.268
356,295.01,265.539,-0.629,-1.848,2.808,-0.086
357,323.303,318.707,1.16,0.463,0.511,-2.68
358,264.026,205.288,0.039,2.095,-0.148,3.077
359,167.181,155.608,-1.289,1.351,1.231,-1.897
360,436.517,415.213,0.594,0.683,-1.947,1.185
361,254.14,157.798,0.069,-2.159,-0.607,1.859
362,818.328,790.779,-1.373,-1.976,1.959,-1.202
363,198.639,136.685,2.148,-0.813,1.361,-0.628
364,271.253,149.72,0.547,-2.107,-1.103,2.186
365,471.949,387.945,1.956,1.556,-2.082,1.008
366,262.158,221.9,-0.377,-2.075,0.076,3.069
367,371.413,301.167,-1.603,-2.084,-0.103,-3.045
368,387.231,383.604,-0.178,0.738,-1.605,1.419
369,201.322,159.945,-1.108,1.041,-1.759,1.279
370,403.869,373.151,1.915,1.614,-0.014,3.089
371,344.425,320.057,2.151,1.137,1.893,-1.283
372,169.79,168.552,0.831,-2.192,-0.208,2.928
373,235.156,197.896,0.646,-0.62,-1.847,1.97
374,344.205,305.175,0.832,0.097,2.434,-0.621
375,359.124,343.72,-1.321,-0.432,0.541,-2.877
376,423.525,418.97,1.524,1.194,-0.499,2.629
377,254.277,197.763,0.359,2.262,2.883,-0.382
378,359.835,338.395,-2.169,-1.309,0.995,-2.209
379,305.315,215.341,0.56,-1.303,2.485,-0.268
380,326.322,294.67,-0.188,-0.999,-2.567,0.709
381,259.62,247.113,2.12,0.416,0.33,-2.865
382,271.358,231.605,-1.888,0.593,0.475,-2.446
383,331.405,301.516,1.345,0.665,2.545,-0.601
384,1437.859,1426.939,0.871,-0.365,2.805,-0.339
385,342.455,335.105,0.554,1.241,-0.902,2.259
386,301.075,231.71,-0.302,1.357,0.113,-2.766
387,286.509,215.027,2.032,0.173,-2.302,0.934
388,399.56,391.908,-0.201,0.002,1.571,-1.547
389,453.403,389.399,1.291,0.42,-1.232,2.143
390,95.576,83.405,-2.327,2.12,-0.703,2.366
391,411.559,385.199,-0.832,-0.213,-0.202,2.9
392,200.072,188.689,1.454,-1.057,0.527,-1.951
393,259.234,253.003,-0.128,-2.007,1.11,-2.103
394,341.93,324.781,-0.319,-2.237,-2.959,0.188
395,226.135,216.831,-1.13,0.818,-1.057,2.109
396,315.563,292.473,1.455,-0.269,1.43,-1.828
397,199.113,120.014,0.776,-2.179,0.931,-1.851
398,230.122,217.753,-0.911,0.927,1.649,-1.563
399,293.573,285.948,1.01,-0.085,0.432,-2.704
400,365.228,345.195,-1.46,-2.205,2.201,-0.953
401,400.954,398.467,-1.325,-1.207,-0.495,2.731
402,194.697,187.617,2.097,-0.144,-1.254,1.903
403,322.335,313.311,1.309,2.078,1.352,-1.841
404,329.959,328.163,0.054,-0.443,1.188,-2.146
405,239.928,146.033,0.016,2.3,2.61,-0.407
406,369.393,367.778,0.946,0.871,0.606,-2.515
407,288.488,262.085,-0.56,-1.893,-0.1,3.037
408,448.003,310.937,-0.807,-1.614,-1.099,1.837
409,381.511,375.659,-1.273,-1.523,1.067,-2.062
410,244.396,243.188,-0.251,1.469,-0.74,2.341
