,Momenta,Eta,Phi
0,"[218.419, 212.766]","[-1.244, 0.243]","[1.597, -1.386]"
1,"[66.039, 65.122]","[1.225, -0.831]","[0.666, -2.387]"
2,"[107.823, 86.726]","[-0.362, 0.775]","[-2.809, 0.527]"
3,"[156.381, 126.765]","[-0.829, -0.554]","[-1.472, -3.013]"
4,"[108.865, 95.631]","[0.367, 0.175]","[2.964, 0.05]"
5,"[664.417, 521.202]","[-0.99, -0.445]","[0.302, -2.762]"
6,"[159.809, 94.442]","[0.382, -0.648]","[1.793, -3.118]"
7,"[106.276, 104.156]","[1.39, 1.154]","[-0.188, 3.05]"
8,"[145.733, 137.707]","[-1.686, -1.764]","[-2.974, 0.103]"
9,"[104.035, 94.894]","[-0.655, 0.471]","[-0.528, 1.375]"
10,"[96.837, 90.38]","[0.193, 0.798]","[-1.705, 1.485]"
11,"[99.847, 86.33]","[-1.159, -0.407]","[1.543, -1.2]"
12,"[101.84, 63.027]","[-0.071, -1.372]","[2.063, -0.932]"
13,"[221.31, 133.107]","[-0.201, -0.198]","[-0.867, -2.123]"
14,"[115.12, 70.016]","[1.026, -0.038]","[0.134, -2.662]"
15,"[152.694, 66.487]","[1.041, 1.567]","[-2.012, 0.648]"
16,"[111.03, 95.926]","[0.66, 0.78]","[-0.284, 2.355]"
17,"[193.335, 36.156]","[-0.697, -2.154]","[-0.003, 2.321]"
18,"[188.761, 180.169]","[0.868, 0.357]","[1.608, -1.816]"
19,"[120.724, 81.637]","[0.946, 0.487]","[-1.61, 1.771]"
20,"[127.582, 77.808]","[0.38, 1.508]","[-0.083, -2.109]"
21,"[100.317, 67.944]","[1.296, 0.265]","[2.082, -1.699]"
22,"[109.37, 90.315]","[-0.121, -0.782]","[1.963, -0.344]"
23,"[109.97, 92.733]","[0.054, -0.402]","[0.483, -2.144]"
24,"[211.891, 102.256]","[-0.388, -0.311]","[0.959, -2.742]"
25,"[81.633, 77.458]","[-0.33, 1.215]","[-1.154, 1.956]"
26,"[127.749, 87.639]","[-1.352, -1.54]","[-3.032, -0.494]"
27,"[95.817, 94.253]","[1.079, 0.286]","[-0.574, 2.074]"
28,"[284.359, 280.347]","[0.593, 0.59]","[-0.554, 2.572]"
29,"[133.455, 92.732]","[0.494, 0.576]","[-3.13, -0.868]"
30,"[99.21, 59.409]","[1.152, -0.514]","[-2.306, 0.299]"
31,"[97.246, 92.698]","[-0.983, -0.038]","[-0.661, 2.39]"
