,Momenta,Eta,Phi
32,"[110.445, 75.485]","[0.692, 1.733]","[-1.775, 1.831]"
33,"[97.564, 91.736]","[-0.659, 0.116]","[3.075, -0.19]"
34,"[135.598, 105.305]","[1.993, 1.621]","[-2.201, 0.873]"
35,"[80.743, 80.174]","[0.907, -0.432]","[0.643, -2.613]"
36,"[81.781, 72.372]","[-0.337, -1.744]","[-0.111, 3.116]"
37,"[97.983, 86.765]","[-0.845, -1.365]","[2.11, -1.072]"
38,"[184.974, 138.778]","[-2.233, -1.588]","[-2.261, -1.112]"
39,"[97.993, 88.068]","[1.915, 0.649]","[-0.448, -2.481]"
40,"[140.625, 68.257]","[1.722, 0.998]","[-2.425, 1.329]"
41,"[75.32, 55.694]","[-0.624, 1.43]","[-0.021, 2.786]"
42,"[100.054, 76.839]","[0.316, -1.028]","[2.037, -2.104]"
43,"[98.967, 79.843]","[0.409, -0.98]","[0.369, -2.003]"
44,"[102.082, 99.791]","[1.958, 1.297]","[0.464, -2.862]"
45,"[81.969, 69.68]","[-0.583, 0.962]","[-1.706, 1.149]"
46,"[105.853, 94.785]","[1.012, 1.031]","[-0.1, 3.057]"
47,"[118.161, 112.574]","[-0.969, -0.85]","[-0.284, -3.094]"
48,"[95.819, 63.109]","[-1.357, 0.134]","[-0.055, 3.024]"
49,"[95.107, 70.456]","[0.454, -0.939]","[0.853, -2.123]"
50,"[95.998, 88.061]","[-1.271, -0.63]","[-0.21, 2.984]"
51,"[96.707, 92.775]","[0.1, -0.539]","[2.023, -1.104]"
52,"[131.695, 71.442]","[0.076, -0.571]","[-1.124, 1.451]"
53,"[178.346, 108.539]","[0.58, 1.412]","[-2.177, 2.862]"
54,"[116.106, 92.211]","[-0.784, -0.249]","[-2.196, -0.25]"
55,"[94.629, 67.267]","[2.47, 2.223]","[2.324, 0.036]"
56,"[101.368, 98.019]","[-1.611, -1.469]","[2.66, -0.455]"
57,"[731.368, 274.189]","[-0.443, 0.163]","[2.61, -2.548]"
58,"[60.667, 58.72]","[-1.517, 0.47]","[-0.878, 2.699]"
59,"[130.671, 106.154]","[0.479, 1.047]","[2.292, -1.201]"
60,"[103.431, 103.171]","[0.69, 0.38]","[-2.549, 0.217]"
61,"[152.252, 83.086]","[0.153, 0.07]","[-1.834, 0.155]"
62,"[164.309, 64.147]","[0.613, 0.534]","[1.972, -1.42]"
63,"[110.897, 85.232]","[-0.816, -1.05]","[-0.328, 2.763]"
64,"[147.002, 92.447]","[-1.643, -1.706]","[-1.16, 2.821]"
65,"[68.61, 47.008]","[-0.545, 1.87]","[-1.931, 1.461]"
66,"[778.113, 246.11]","[-1.675, -1.413]","[-3.006, 0.574]"
67,"[81.702, 44.303]","[1.191, -0.927]","[-2.063, 0.496]"
68,"[99.814, 96.281]","[1.676, 1.159]","[3.086, -0.377]"
69,"[109.288, 82.944]","[0.188, -0.47]","[-2.919, 0.241]"
70,"[124.979, 69.032]","[-0.275, -1.233]","[1.262, -2.316]"
71,"[129.2, 92.506]","[2.159, 1.721]","[0.32, 2.711]"
72,"[77.746, 74.36]","[-0.899, 0.569]","[-1.818, 1.603]"
73,"[113.938, 89.946]","[1.143, 1.006]","[-0.092, -3.114]"
74,"[105.934, 104.44]","[-1.437, -1.848]","[2.072, -0.892]"
75,"[92.226, 89.098]","[0.176, 1.273]","[2.115, -1.076]"
76,"[131.236, 88.642]","[-2.151, -2.4]","[2.786, 0.205]"
77,"[259.31, 166.506]","[0.252, -0.664]","[-2.511, 2.597]"
78,"[121.71, 98.021]","[0.652, 1.142]","[-2.913, 1.182]"
79,"[131.874, 88.191]","[-1.453, -1.293]","[-0.712, 3.102]"
80,"[178.348, 53.07]","[-0.636, -1.416]","[-3.026, 0.698]"
81,"[73.646, 41.817]","[1.885, -0.286]","[0.6, -2.631]"
82,"[100.02, 92.209]","[-1.395, -0.688]","[0.621, -2.237]"
83,"[108.476, 88.217]","[-0.52, -0.009]","[-2.314, 0.85]"
84,"[179.277, 68.717]","[0.426, 0.375]","[-1.875, 2.092]"
85,"[270.61, 76.499]","[-1.604, -2.328]","[-0.169, 1.146]"
86,"[117.492, 94.159]","[-0.149, -0.779]","[1.7, -1.197]"
87,"[166.517, 106.255]","[1.675, 1.281]","[-0.871, 0.764]"
88,"[276.878, 158.864]","[-0.476, -0.434]","[2.467, -2.545]"
89,"[93.4, 75.506]","[1.497, 0.19]","[-1.523, 1.683]"
90,"[117.896, 67.36]","[-0.37, 0.213]","[-1.298, 2.633]"
91,"[132.308, 71.513]","[1.023, 1.884]","[0.806, -3.036]"
92,"[125.257, 82.868]","[-0.605, -0.659]","[-1.485, 1.246]"
93,"[102.012, 90.436]","[-1.564, -1.132]","[-1.764, 1.382]"
94,"[196.266, 102.617]","[0.577, 0.8]","[0.608, -1.485]"
95,"[190.713, 50.177]","[0.723, 1.739]","[2.864, -0.12]"
96,"[87.933, 82.086]","[-0.789, 0.403]","[2.785, -0.207]"
97,"[125.948, 93.702]","[-0.686, -0.606]","[-1.886, 1.589]"
98,"[171.585, 60.119]","[0.387, 0.528]","[1.567, -1.229]"
99,"[116.573, 94.998]","[0.959, 1.059]","[2.784, -0.603]"
100,"[102.404, 93.586]","[-0.741, -1.126]","[0.863, -2.348]"
101,"[235.717, 39.497]","[0.79, 0.182]","[-2.522, 1.286]"
102,"[175.552, 100.86]","[0.873, 0.841]","[1.756, -0.557]"
103,"[116.138, 95.621]","[-0.712, -1.171]","[-1.06, 2.043]"
104,"[267.707, 224.23]","[1.584, 0.606]","[0.612, -2.217]"
105,"[96.539, 79.304]","[-0.892, -2.089]","[-3.059, 0.117]"
106,"[288.524, 77.34]","[-0.288, 0.55]","[-0.089, 2.475]"
107,"[175.717, 161.332]","[1.286, 0.518]","[-0.41, 2.611]"
108,"[128.574, 104.067]","[0.302, 1.134]","[-0.969, 2.647]"
109,"[119.497, 76.087]","[-0.286, -0.664]","[2.147, -0.738]"
110,"[105.771, 94.985]","[-0.513, -0.035]","[0.481, -2.638]"
111,"[114.762, 98.052]","[-0.227, -0.485]","[-3.129, 0.426]"
112,"[120.8, 69.704]","[-0.204, 1.726]","[1.081, 0.882]"
113,"[67.733, 63.229]","[-0.303, -2.183]","[0.67, -2.362]"
114,"[91.659, 91.077]","[0.595, -0.087]","[-2.704, 0.511]"
115,"[113.306, 92.182]","[0.602, 0.767]","[1.743, -1.995]"
116,"[103.799, 83.022]","[0.652, -0.116]","[-0.737, 2.717]"
117,"[150.028, 71.926]","[0.127, 0.898]","[-0.85, 3.1]"
118,"[63.609, 47.784]","[0.145, -2.265]","[1.987, -1.044]"
119,"[80.099, 60.234]","[1.408, -0.897]","[1.547, -1.749]"
120,"[122.232, 87.85]","[1.358, 0.442]","[-2.492, -0.457]"
121,"[58.028, 46.46]","[-0.757, 1.986]","[2.423, -1.664]"
122,"[118.598, 100.861]","[2.02, 1.834]","[1.827, -1.406]"
123,"[105.59, 73.959]","[0.281, 0.97]","[0.565, 3.07]"
124,"[110.285, 77.367]","[-0.055, 0.494]","[-2.037, 1.176]"
125,"[62.919, 61.534]","[-1.766, 0.317]","[-1.199, 1.882]"
126,"[225.152, 64.02]","[-0.432, 0.18]","[-1.9, 2.644]"
127,"[113.354, 84.521]","[-1.43, 0.742]","[2.595, -0.749]"
128,"[93.52, 87.855]","[-2.164, -1.197]","[1.147, -2.064]"
129,"[96.229, 85.353]","[-0.196, -0.066]","[-2.242, 1.765]"
130,"[98.381, 95.978]","[-0.717, -1.05]","[0.04, -3.073]"
131,"[153.04, 95.44]","[0.209, 0.923]","[-2.191, -0.6]"
132,"[275.994, 159.997]","[-0.914, -1.394]","[2.262, 1.16]"
133,"[92.876, 87.357]","[1.118, 0.106]","[-0.095, -3.125]"
134,"[107.429, 64.171]","[-0.435, -1.759]","[-1.965, 0.089]"
135,"[100.769, 94.542]","[-0.89, -1.497]","[0.668, -1.985]"
136,"[139.414, 70.025]","[0.354, 0.347]","[-0.816, 2.15]"
137,"[109.531, 86.35]","[1.447, 0.713]","[0.147, 2.812]"
138,"[114.466, 78.107]","[0.836, 0.231]","[2.044, -0.525]"
139,"[93.932, 91.037]","[-0.289, -1.25]","[-0.949, 2.416]"
140,"[116.234, 76.523]","[1.747, 1.98]","[-0.79, 3.054]"
141,"[120.613, 80.852]","[2.224, 2.074]","[-3.08, 0.422]"
142,"[198.584, 192.666]","[0.839, -0.442]","[-2.734, 0.344]"
143,"[99.679, 93.531]","[0.511, -0.392]","[-2.094, 1.302]"
144,"[100.12, 52.157]","[-0.775, -2.47]","[-1.509, 0.599]"
145,"[114.271, 85.492]","[0.828, 0.595]","[1.728, -0.909]"
146,"[318.579, 309.543]","[0.563, -0.219]","[2.569, 1.618]"
147,"[105.073, 93.097]","[0.185, -0.198]","[0.733, -2.298]"
148,"[119.424, 94.607]","[-0.91, -0.579]","[-3.068, 0.579]"
149,"[104.552, 89.539]","[-0.202, 0.027]","[-2.149, 0.718]"
150,"[106.177, 101.596]","[-0.032, -0.367]","[1.407, -1.892]"
151,"[98.218, 86.166]","[-0.696, -1.441]","[1.243, -1.763]"
152,"[59.345, 15.876]","[1.173, -1.751]","[-3.0, 0.244]"
153,"[108.085, 94.059]","[0.4, 0.631]","[1.829, -0.833]"
154,"[235.193, 165.124]","[-0.544, -0.759]","[-2.775, -0.659]"
155,"[180.494, 62.485]","[-0.45, 0.096]","[-2.859, -0.446]"
156,"[53.929, 44.697]","[-1.766, 0.95]","[-1.566, 0.778]"
157,"[120.346, 109.245]","[-0.411, 0.231]","[-0.91, 2.078]"
158,"[152.167, 85.386]","[0.286, 0.148]","[-2.187, 1.176]"
159,"[141.957, 76.788]","[-0.129, -0.681]","[2.73, 0.295]"
160,"[80.69, 73.268]","[-2.159, -0.639]","[1.209, -2.254]"
161,"[130.097, 77.807]","[-0.12, -0.35]","[-1.697, 1.159]"
162,"[101.313, 93.926]","[2.068, 1.693]","[-2.478, 0.471]"
163,"[98.274, 85.781]","[1.494, 0.826]","[1.026, -2.428]"
164,"[130.92, 83.277]","[-1.517, -2.237]","[-3.089, -0.319]"
165,"[104.473, 73.841]","[-0.271, 0.73]","[-0.506, 2.688]"
166,"[232.451, 176.792]","[-1.215, -2.175]","[-0.497, -3.074]"
167,"[97.927, 66.875]","[0.597, 1.895]","[-2.541, 0.327]"
168,"[177.993, 52.01]","[-1.358, -1.961]","[2.334, -0.984]"
169,"[104.262, 89.628]","[1.365, 0.977]","[1.269, -1.888]"
170,"[91.412, 75.36]","[0.867, -0.398]","[-0.208, 2.903]"
171,"[115.838, 105.297]","[0.54, 1.846]","[2.072, -1.479]"
172,"[172.792, 80.783]","[0.783, -0.847]","[-0.791, 2.032]"
173,"[103.777, 92.599]","[-0.661, -1.18]","[-1.645, 1.329]"
174,"[98.021, 67.392]","[0.536, 1.983]","[2.309, -1.458]"
175,"[554.435, 514.024]","[0.487, -0.108]","[2.2, -1.13]"
176,"[86.84, 76.083]","[0.131, 1.275]","[0.441, -2.312]"
177,"[103.697, 98.967]","[0.126, -0.245]","[0.64, -2.305]"
178,"[116.693, 98.453]","[-0.343, -0.477]","[-0.485, 2.265]"
179,"[86.838, 74.973]","[0.464, -0.952]","[-0.496, 2.771]"
180,"[127.245, 84.974]","[0.121, -1.052]","[0.512, 2.042]"
181,"[215.901, 60.607]","[0.443, -0.842]","[0.892, 2.015]"
182,"[98.948, 79.059]","[0.13, 1.097]","[2.564, -0.849]"
183,"[163.429, 41.54]","[0.188, 0.826]","[-0.97, 1.693]"
184,"[90.34, 83.832]","[-0.648, -1.662]","[-0.418, 2.775]"
185,"[107.326, 90.096]","[-1.628, -2.422]","[2.76, -0.059]"
186,"[117.922, 70.385]","[-0.959, 0.373]","[0.501, 2.526]"
187,"[100.154, 95.464]","[-0.334, 0.081]","[0.047, -2.989]"
188,"[111.372, 80.85]","[-2.31, 0.253]","[2.199, -0.748]"
189,"[100.335, 82.766]","[0.927, 1.741]","[2.815, -0.63]"
190,"[85.636, 70.224]","[-1.0, 0.411]","[-1.26, 2.381]"
191,"[82.009, 71.989]","[-0.953, 0.566]","[-1.903, 1.599]"
192,"[285.736, 246.302]","[-0.427, 0.612]","[-1.065, 1.909]"
193,"[207.264, 62.765]","[-0.506, -0.335]","[1.557, -0.52]"
194,"[97.438, 96.641]","[-0.284, 0.101]","[0.217, -2.798]"
195,"[57.555, 52.089]","[-2.034, -0.404]","[-0.821, 2.376]"
196,"[105.572, 96.866]","[-0.932, -1.218]","[-0.01, -2.78]"
197,"[72.295, 54.503]","[-0.862, 1.292]","[-0.549, 1.237]"
198,"[323.226, 199.144]","[0.244, 0.166]","[-1.007, -0.175]"
199,"[94.816, 85.479]","[-2.383, -1.566]","[1.538, -1.638]"
200,"[101.07, 79.938]","[1.3, -0.532]","[1.377, -1.77]"
201,"[98.308, 80.565]","[0.551, 1.577]","[-2.693, -0.417]"
202,"[117.752, 104.72]","[-0.404, -0.463]","[-1.438, 0.806]"
203,"[104.816, 91.595]","[-0.194, 0.176]","[-2.987, -0.035]"
204,"[249.982, 71.635]","[0.535, 1.602]","[-2.122, 3.112]"
205,"[89.198, 61.844]","[-0.531, 0.724]","[-1.707, 1.591]"
206,"[96.708, 94.84]","[-2.287, -1.434]","[-0.5, 2.625]"
207,"[488.285, 450.182]","[-1.098, -1.089]","[-1.424, 1.638]"
208,"[109.106, 91.059]","[0.957, 0.738]","[2.361, -0.878]"
209,"[158.921, 49.806]","[-0.699, -0.262]","[-0.408, -2.652]"
210,"[205.675, 86.03]","[-0.983, -1.134]","[-1.448, -3.133]"
211,"[91.75, 79.46]","[-1.282, -0.459]","[-1.684, 1.16]"
212,"[130.28, 71.188]","[0.436, -0.434]","[2.313, -1.315]"
213,"[174.227, 47.896]","[1.204, 2.09]","[1.586, -2.533]"
214,"[139.808, 89.952]","[1.462, 1.517]","[0.447, 2.497]"
215,"[70.953, 70.012]","[-1.741, 0.013]","[1.054, -1.087]"
216,"[108.704, 87.432]","[0.005, 0.918]","[2.062, -1.252]"
217,"[126.275, 102.863]","[0.324, 0.338]","[-2.492, 0.162]"
218,"[98.756, 96.863]","[2.178, 2.27]","[-0.263, 2.839]"
219,"[76.269, 65.488]","[1.813, -0.042]","[-0.971, 2.583]"
220,"[92.243, 62.258]","[-0.501, -2.297]","[0.698, -1.242]"
221,"[115.942, 86.513]","[-1.387, -2.021]","[-1.888, 1.516]"
222,"[105.566, 57.37]","[-0.585, 1.377]","[-1.523, 0.849]"
223,"[142.274, 75.383]","[-1.244, -1.626]","[-0.479, 2.738]"
224,"[72.788, 62.141]","[-0.815, 1.007]","[3.03, -0.226]"
225,"[456.641, 409.818]","[0.591, 0.9]","[0.976, -1.933]"
226,"[91.655, 84.605]","[0.0, 0.987]","[1.862, -1.159]"
227,"[109.935, 109.176]","[0.564, 1.95]","[-2.073, -1.0]"
228,"[92.075, 68.955]","[0.176, -1.114]","[1.696, -1.324]"
229,"[146.474, 78.612]","[-0.405, 0.034]","[-0.885, 1.222]"
230,"[99.344, 87.464]","[-0.022, -0.591]","[-0.322, 2.605]"
231,"[104.853, 92.927]","[-0.652, -0.355]","[-0.156, -2.751]"
232,"[102.11, 78.509]","[-1.548, -0.424]","[-2.371, 0.859]"
233,"[89.7, 82.5]","[-1.325, -0.645]","[1.85, -1.375]"
234,"[123.876, 94.86]","[-0.701, -1.214]","[-0.315, -2.916]"
235,"[98.069, 96.832]","[2.19, 2.058]","[0.269, -2.903]"
236,"[111.087, 95.354]","[-0.955, -0.576]","[-0.255, 2.637]"
237,"[118.956, 89.74]","[-0.556, -0.895]","[-1.041, 1.932]"
238,"[122.948, 70.654]","[1.542, 0.48]","[-1.348, 1.509]"
239,"[112.338, 83.413]","[-0.96, -1.156]","[0.69, -3.137]"
240,"[99.868, 96.542]","[-1.311, -0.532]","[-1.89, 0.663]"
241,"[102.31, 96.248]","[0.559, 1.097]","[-2.532, 0.917]"
242,"[105.085, 62.703]","[0.233, -1.103]","[0.872, -2.074]"
243,"[102.636, 88.449]","[1.003, 1.11]","[0.776, -2.398]"
244,"[179.629, 51.848]","[-0.376, -1.755]","[0.725, -1.604]"
245,"[207.165, 206.027]","[0.992, 1.465]","[-2.251, 1.133]"
246,"[110.098, 92.427]","[-0.455, 0.012]","[1.693, -1.782]"
247,"[89.377, 82.616]","[-0.365, -1.326]","[-0.03, 2.813]"
248,"[237.24, 40.848]","[-1.01, -1.086]","[-1.211, 1.931]"
249,"[126.99, 80.599]","[-0.458, -0.006]","[-2.537, -0.094]"
250,"[105.866, 88.376]","[1.286, 0.956]","[2.402, -0.844]"
251,"[118.545, 98.395]","[0.306, 0.069]","[-1.366, 1.609]"
252,"[88.705, 80.348]","[0.932, -0.354]","[-1.844, 1.283]"
253,"[106.5, 85.976]","[1.188, 0.308]","[1.231, -1.191]"
254,"[105.2, 87.856]","[-0.393, -0.333]","[1.479, -1.631]"
255,"[107.427, 91.799]","[0.388, 1.532]","[1.509, -1.927]"
256,"[122.874, 113.828]","[0.694, 1.243]","[-0.901, 1.935]"
257,"[121.317, 78.84]","[-0.143, 0.94]","[0.541, 2.582]"
258,"[108.091, 82.08]","[0.79, 0.096]","[-1.813, 1.595]"
259,"[191.112, 63.55]","[-0.829, 0.002]","[2.459, 0.855]"
260,"[98.842, 84.427]","[0.445, 1.404]","[-1.989, 1.439]"
261,"[54.118, 46.369]","[1.522, -1.142]","[2.452, -0.791]"
262,"[131.022, 80.817]","[-0.703, -0.39]","[2.103, -0.916]"
263,"[59.615, 56.876]","[0.945, -1.374]","[-2.231, 0.609]"
264,"[601.09, 586.486]","[-0.682, -0.606]","[0.912, -2.444]"
265,"[299.819, 247.113]","[-0.603, -1.633]","[0.303, 3.057]"
266,"[116.824, 83.808]","[-0.125, 0.146]","[-0.752, 2.562]"
267,"[97.78, 90.241]","[-1.024, -0.392]","[2.177, -0.904]"
268,"[143.306, 67.881]","[-0.217, -0.627]","[3.055, 0.125]"
269,"[87.572, 69.755]","[-0.329, 1.169]","[-1.313, 2.025]"
270,"[622.436, 191.261]","[0.432, 0.129]","[-2.133, -2.63]"
271,"[101.284, 95.053]","[-0.782, -0.511]","[-1.86, 1.404]"
272,"[85.898, 62.525]","[0.335, 1.701]","[2.204, -0.697]"
273,"[128.018, 42.284]","[0.235, 2.35]","[-1.303, -1.122]"
274,"[55.219, 46.845]","[-2.287, 0.357]","[0.972, -1.907]"
275,"[110.472, 88.691]","[-1.429, -1.12]","[1.075, -1.867]"
276,"[110.964, 92.926]","[0.029, 0.357]","[-1.303, 1.991]"
277,"[92.836, 78.712]","[-1.377, -0.261]","[-0.118, -2.854]"
278,"[90.254, 88.023]","[0.326, 1.464]","[1.178, -1.826]"
279,"[84.838, 62.934]","[2.227, 0.368]","[1.625, -2.107]"
280,"[166.121, 121.009]","[-0.413, -1.595]","[2.996, 1.882]"
281,"[115.016, 89.559]","[0.387, 0.567]","[-3.019, -0.302]"
282,"[97.406, 49.584]","[-1.229, 0.799]","[-0.431, 2.358]"
283,"[115.097, 32.441]","[-0.781, 1.306]","[0.468, -2.615]"
284,"[142.409, 95.51]","[-0.353, -0.895]","[1.894, -1.063]"
285,"[114.883, 104.986]","[-1.821, -0.311]","[-1.458, -2.123]"
286,"[110.044, 104.538]","[-0.806, -0.819]","[2.175, -0.521]"
287,"[118.205, 74.014]","[0.121, -0.551]","[0.495, -2.808]"
288,"[97.235, 84.313]","[1.059, 1.851]","[-1.157, 2.034]"
289,"[100.058, 90.374]","[0.907, 1.75]","[-2.006, 0.511]"
290,"[95.073, 92.629]","[2.195, 1.456]","[1.076, -2.536]"
291,"[150.418, 98.99]","[0.64, 0.58]","[0.157, 2.581]"
292,"[154.428, 139.997]","[-1.9, -1.624]","[1.063, 2.573]"
293,"[100.115, 90.831]","[2.219, 1.693]","[-2.012, 1.103]"
294,"[99.344, 95.74]","[-0.185, -0.709]","[1.474, -1.596]"
295,"[137.023, 92.172]","[-1.316, -0.724]","[3.083, -0.349]"
296,"[123.227, 111.741]","[-0.208, 0.057]","[2.255, -0.703]"
297,"[147.583, 82.287]","[-1.502, -0.712]","[2.501, -0.578]"
298,"[125.251, 87.984]","[0.311, 0.58]","[-2.813, 0.714]"
299,"[154.946, 83.992]","[0.157, 0.036]","[-1.856, 0.635]"
300,"[118.185, 83.253]","[0.852, 1.269]","[-2.204, 1.049]"
301,"[162.374, 81.367]","[-0.074, -0.283]","[-1.391, 2.619]"
302,"[108.355, 87.573]","[-0.692, -0.549]","[-1.275, 2.143]"
303,"[171.856, 80.807]","[-0.804, -1.154]","[2.112, -2.204]"
304,"[89.285, 84.234]","[-0.344, -1.249]","[-0.159, -2.834]"
305,"[340.459, 75.126]","[0.152, -0.636]","[2.777, 1.812]"
306,"[120.52, 81.712]","[0.491, -0.076]","[0.203, -2.543]"
307,"[116.716, 63.671]","[-0.734, -1.828]","[1.637, -1.893]"
308,"[119.166, 110.236]","[0.037, 0.715]","[-0.576, 2.551]"
309,"[208.704, 62.768]","[-0.079, 0.063]","[2.64, -1.189]"
310,"[115.844, 64.989]","[-0.104, 0.705]","[-2.965, -0.201]"
311,"[113.011, 90.785]","[1.024, 0.157]","[-0.254, 2.849]"
312,"[109.894, 90.259]","[-2.193, -2.144]","[1.907, -1.415]"
313,"[84.951, 70.278]","[0.128, 1.688]","[0.302, 3.014]"
314,"[113.262, 90.545]","[1.431, 1.557]","[-2.764, 0.179]"
315,"[130.881, 76.866]","[0.236, 1.084]","[-1.165, 2.897]"
316,"[76.813, 66.644]","[2.181, 0.327]","[-1.39, 0.896]"
317,"[107.715, 81.009]","[0.602, 0.997]","[-0.98, 2.071]"
318,"[142.001, 77.524]","[-1.541, -0.498]","[0.84, -2.696]"
319,"[114.931, 106.652]","[-1.507, 0.326]","[2.404, -0.703]"
320,"[95.856, 86.005]","[0.451, -0.412]","[-0.029, 2.751]"
321,"[110.367, 103.298]","[-0.021, -0.184]","[-1.792, 0.548]"
322,"[640.452, 567.323]","[-0.603, 0.456]","[-2.438, 0.811]"
323,"[153.26, 60.994]","[0.586, 1.254]","[-2.899, -0.086]"
324,"[137.149, 130.431]","[1.528, 0.695]","[3.113, -0.384]"
325,"[92.335, 91.703]","[-1.355, -1.056]","[2.807, -0.388]"
326,"[79.639, 77.734]","[0.654, -0.553]","[-2.82, 0.389]"
327,"[99.025, 82.848]","[-1.716, -0.725]","[2.679, -0.186]"
328,"[114.489, 103.286]","[-2.19, -2.473]","[-0.834, 2.49]"
329,"[92.19, 82.061]","[1.622, 0.656]","[3.02, -0.023]"
330,"[106.809, 86.5]","[0.32, -0.456]","[-2.554, 0.037]"
331,"[44.445, 37.891]","[1.465, 2.102]","[-1.246, 1.754]"
332,"[107.941, 103.686]","[1.161, 1.52]","[2.074, -1.786]"
333,"[119.346, 91.559]","[0.874, 1.207]","[0.022, -3.067]"
334,"[237.315, 73.467]","[-1.09, 0.492]","[-0.799, 1.791]"
335,"[115.162, 85.296]","[0.106, 0.178]","[-2.945, -0.036]"
336,"[102.627, 84.716]","[-0.698, 0.619]","[-1.659, 2.721]"
337,"[109.49, 97.179]","[-0.813, -0.801]","[-2.321, 0.612]"
338,"[122.234, 97.858]","[-1.279, -1.258]","[-0.071, -2.833]"
339,"[176.197, 128.187]","[0.327, 0.446]","[-2.151, -0.654]"
340,"[95.765, 57.875]","[-1.223, -1.319]","[-1.458, 1.501]"
341,"[142.122, 64.814]","[1.353, 0.731]","[1.595, -0.453]"
342,"[181.838, 176.46]","[-0.274, 0.068]","[0.813, -2.33]"
343,"[104.845, 85.544]","[2.18, 1.497]","[2.892, -0.098]"
344,"[123.022, 66.779]","[-1.747, -0.852]","[1.298, -1.625]"
345,"[306.363, 136.755]","[-0.186, -1.174]","[-0.568, 0.588]"
346,"[99.875, 89.24]","[0.337, 1.797]","[-0.592, 2.818]"
347,"[115.111, 95.157]","[-1.097, -1.787]","[0.65, 2.404]"
348,"[218.427, 197.485]","[0.191, -0.255]","[-0.555, 2.616]"
349,"[201.618, 14.034]","[0.307, -2.159]","[2.382, 0.003]"
350,"[133.8, 82.706]","[-0.648, -0.384]","[0.351, 2.722]"
351,"[101.481, 82.892]","[-1.17, -0.341]","[0.655, -2.19]"
352,"[93.79, 91.728]","[-0.18, 0.636]","[-1.448, 1.42]"
353,"[62.623, 33.57]","[-0.857, 2.032]","[2.533, -0.736]"
354,"[100.881, 76.085]","[1.027, -0.426]","[-0.661, 2.14]"
355,"[87.782, 72.304]","[-0.651, -1.349]","[-0.628, 2.682]"
356,"[136.92, 58.869]","[0.07, 1.103]","[-2.458, 1.244]"
357,"[103.505, 69.778]","[0.833, -0.148]","[-1.746, 1.653]"
358,"[127.905, 81.67]","[-0.312, -0.143]","[2.727, -0.75]"
359,"[105.935, 88.945]","[0.722, 0.965]","[1.288, -2.0]"
360,"[84.636, 59.88]","[-0.298, -2.37]","[2.166, 0.463]"
361,"[99.08, 71.316]","[-0.651, -1.463]","[-0.301, 2.677]"
362,"[100.798, 92.671]","[-0.935, -1.399]","[2.685, -0.387]"
363,"[95.066, 91.312]","[1.919, 1.306]","[-0.705, 2.349]"
364,"[238.208, 68.516]","[-0.218, 1.022]","[-2.927, -2.272]"
365,"[109.175, 81.224]","[1.448, 0.491]","[0.651, -1.572]"
366,"[98.093, 79.77]","[1.115, 0.099]","[2.275, -0.573]"
