,Momenta,Eta,Phi
0,"[154.679, 138.396]","[-2.092, -1.732]","[-0.223, 2.98]"
1,"[332.035, 119.102]","[0.226, 1.221]","[-2.042, -0.724]"
2,"[290.283, 142.207]","[-1.372, -0.497]","[2.417, -2.762]"
3,"[244.322, 137.569]","[0.009, 0.424]","[-1.463, 3.073]"
4,"[213.375, 108.096]","[1.081, 1.302]","[1.157, -1.833]"
5,"[174.783, 130.435]","[1.246, 0.448]","[1.845, -2.235]"
6,"[169.146, 128.129]","[1.76, 1.538]","[1.093, -1.928]"
7,"[122.098, 105.546]","[-0.028, 1.516]","[2.86, -0.281]"
8,"[123.242, 118.838]","[-0.68, 0.685]","[2.326, -0.809]"
9,"[777.057, 587.354]","[-1.16, -0.525]","[-1.04, 2.123]"
10,"[128.812, 88.986]","[-0.423, 1.298]","[2.764, -0.431]"
11,"[125.529, 109.161]","[-0.826, 0.468]","[2.227, -0.783]"
12,"[251.918, 91.085]","[0.466, 0.966]","[2.925, -0.71]"
13,"[128.299, 90.5]","[1.231, -0.531]","[-2.557, 0.506]"
14,"[274.672, 114.375]","[0.175, -0.048]","[-1.989, -0.094]"
15,"[173.278, 128.227]","[1.229, 0.938]","[2.254, -0.552]"
16,"[155.131, 114.002]","[0.538, 1.732]","[-1.302, 1.763]"
17,"[219.28, 55.689]","[-0.006, -1.53]","[1.167, -2.101]"
18,"[230.149, 99.352]","[-1.306, -1.484]","[1.27, -1.268]"
19,"[174.523, 154.054]","[1.142, -0.271]","[0.418, 1.434]"
20,"[150.031, 115.613]","[-1.193, -2.29]","[2.106, -1.417]"
21,"[259.005, 82.564]","[-1.459, -2.367]","[0.048, -2.117]"
22,"[209.331, 105.974]","[0.432, 0.516]","[-1.572, 1.709]"
23,"[173.393, 120.558]","[0.113, -0.171]","[2.986, -0.426]"
24,"[150.716, 127.636]","[0.322, 1.049]","[-1.512, 1.282]"
25,"[140.468, 108.673]","[1.312, 2.172]","[2.628, -0.7]"
26,"[43.379, 36.072]","[-1.763, 1.861]","[-1.893, 1.255]"
27,"[159.416, 139.527]","[2.091, 1.65]","[-2.533, 0.873]"
28,"[137.511, 136.082]","[-0.867, -1.767]","[-0.419, 2.74]"
29,"[69.296, 46.65]","[1.222, -1.957]","[-0.748, 2.382]"
30,"[164.377, 135.011]","[0.297, -0.297]","[0.804, -1.722]"
31,"[215.09, 85.033]","[0.148, -0.627]","[3.139, 0.594]"
32,"[170.688, 164.516]","[-1.711, -1.398]","[1.54, -0.568]"
33,"[231.931, 97.006]","[0.769, 1.461]","[-1.436, 0.99]"
34,"[127.762, 94.472]","[-0.172, -1.789]","[-0.089, 2.565]"
35,"[127.477, 95.784]","[-1.349, 0.25]","[2.431, -0.593]"
36,"[183.083, 134.522]","[0.719, 0.973]","[-2.714, 0.182]"
37,"[133.826, 133.124]","[-1.736, -0.789]","[-3.135, 0.093]"
38,"[168.456, 146.047]","[-1.293, -1.106]","[2.689, -0.254]"
39,"[144.913, 120.869]","[-0.351, -1.38]","[2.519, -0.362]"
40,"[120.211, 116.439]","[-1.182, -2.27]","[-0.726, 2.332]"
41,"[131.792, 116.945]","[-0.227, 1.153]","[-0.935, 1.479]"
42,"[200.079, 160.845]","[-0.875, -0.739]","[-2.863, 0.544]"
43,"[173.963, 112.406]","[0.188, -0.816]","[-2.86, -0.597]"
44,"[255.417, 62.757]","[-0.011, -1.204]","[-2.092, 0.784]"
