,Momenta,Eta,Phi
0,"[150.68, 107.365]","[-1.149, -1.423]","[-1.539, 1.778]"
1,"[103.414, 73.405]","[1.457, 1.876]","[-0.779, 2.256]"
2,"[134.29, 120.71]","[-0.891, -0.781]","[2.897, -0.675]"
