,Momenta,Eta,Phi
0,"[167.718, 143.23]","[0.939, -1.187]","[-2.024, 0.771]"
1,"[259.757, 217.891]","[-0.064, 0.91]","[1.981, -1.755]"
2,"[171.048, 156.339]","[0.013, 1.945]","[-2.189, 0.955]"
3,"[417.739, 100.624]","[-1.084, 0.421]","[0.858, -3.036]"
4,"[360.548, 174.615]","[-0.763, -0.247]","[2.156, -0.624]"
5,"[239.732, 235.692]","[-0.73, -1.248]","[-1.937, 0.488]"
6,"[222.093, 215.97]","[0.083, 1.044]","[1.024, -2.265]"
7,"[284.662, 218.081]","[0.723, -0.081]","[-3.109, -0.807]"
8,"[228.172, 211.773]","[0.838, -0.296]","[-0.903, 2.069]"
9,"[633.533, 583.335]","[-0.556, -0.262]","[2.036, 2.816]"
10,"[258.736, 233.395]","[-0.661, -0.752]","[-1.27, 1.912]"
11,"[230.351, 225.722]","[-0.439, -1.401]","[-0.404, 2.904]"
12,"[214.039, 170.089]","[-0.651, -0.1]","[3.083, -0.441]"
13,"[267.624, 239.126]","[0.231, 0.524]","[-2.135, 0.655]"
14,"[186.436, 181.212]","[-0.624, 1.138]","[2.542, -0.511]"
15,"[261.473, 239.39]","[-0.662, -0.396]","[-2.56, 0.736]"
16,"[351.787, 194.947]","[-0.917, -1.339]","[0.651, -1.7]"
17,"[190.425, 163.66]","[-0.453, -0.886]","[0.108, -2.994]"
18,"[348.864, 284.139]","[1.424, 0.691]","[-1.704, 1.606]"
19,"[269.434, 234.18]","[-0.436, -0.111]","[-2.775, 0.412]"
20,"[265.568, 236.042]","[1.342, 1.434]","[0.267, -2.85]"
21,"[268.772, 97.866]","[1.05, -0.944]","[-2.791, -0.133]"
22,"[969.223, 74.663]","[0.47, 1.163]","[3.053, -1.193]"
23,"[571.723, 153.939]","[-0.843, -1.935]","[-2.398, 2.562]"
24,"[318.387, 224.908]","[-0.654, -0.403]","[-1.964, 2.026]"
25,"[239.034, 202.243]","[-2.182, -1.096]","[-0.951, 2.412]"
26,"[185.429, 150.454]","[0.263, 2.417]","[2.039, -2.632]"
27,"[283.656, 222.521]","[1.399, 1.231]","[1.23, -1.964]"
28,"[238.289, 220.621]","[0.369, -0.677]","[-2.224, 0.523]"
29,"[339.75, 176.677]","[-1.059, -0.102]","[-0.704, -2.928]"
30,"[164.816, 161.638]","[-0.334, 1.475]","[-1.16, 1.987]"
31,"[247.766, 242.651]","[-0.957, -1.314]","[-0.816, 2.259]"
32,"[416.841, 220.428]","[0.635, 0.046]","[-1.543, 2.931]"
33,"[198.505, 145.046]","[-0.163, 1.757]","[0.325, 2.881]"
34,"[308.208, 290.618]","[-0.779, -0.786]","[2.849, -0.282]"
35,"[169.324, 148.712]","[-0.355, -0.813]","[-1.55, 1.518]"
36,"[342.606, 203.888]","[-0.951, -0.886]","[0.165, 2.649]"
37,"[244.369, 240.398]","[-0.33, -0.774]","[-0.77, 2.347]"
38,"[246.678, 223.727]","[-1.563, -2.254]","[-1.105, 2.242]"
39,"[256.357, 237.866]","[-0.313, -0.417]","[0.255, -2.805]"
40,"[273.828, 222.651]","[1.711, 1.252]","[0.713, -2.541]"
41,"[219.494, 176.188]","[-0.384, 0.696]","[1.29, -2.633]"
42,"[287.829, 226.022]","[1.31, 1.146]","[1.042, -1.752]"
43,"[215.692, 206.309]","[0.975, -0.1]","[-2.484, 0.669]"
44,"[224.127, 193.687]","[-0.505, -1.704]","[1.658, -1.439]"
45,"[369.274, 191.478]","[0.464, 0.663]","[3.052, -0.834]"
46,"[344.318, 172.447]","[1.768, 1.246]","[-0.735, 2.29]"
47,"[255.803, 253.792]","[0.367, 0.551]","[-0.575, 2.465]"
48,"[286.827, 221.615]","[0.606, 0.328]","[-2.51, 0.335]"
49,"[265.69, 165.677]","[-1.105, -2.325]","[-2.334, 0.723]"
50,"[286.499, 195.317]","[-0.159, -0.3]","[1.033, -2.722]"
51,"[258.988, 216.732]","[0.547, 0.005]","[-2.015, 1.171]"
52,"[350.26, 185.465]","[-0.6, -1.709]","[1.496, -3.062]"
53,"[265.719, 237.602]","[1.16, -0.262]","[0.634, 1.873]"
54,"[257.733, 244.488]","[-1.112, -0.995]","[2.125, -1.043]"
55,"[241.885, 236.474]","[0.302, -0.664]","[-1.341, 1.014]"
56,"[254.17, 227.45]","[0.694, 0.109]","[1.828, -1.172]"
57,"[249.967, 247.646]","[0.894, 1.159]","[-1.622, 1.589]"
58,"[295.514, 224.572]","[-0.896, -1.194]","[-1.024, 2.518]"
59,"[242.499, 237.878]","[0.42, -0.168]","[1.86, -1.492]"
60,"[145.814, 134.497]","[-0.933, 1.446]","[-0.251, 2.598]"
61,"[262.475, 142.684]","[1.478, -0.051]","[2.911, -0.387]"
62,"[255.422, 214.51]","[-1.119, -1.877]","[-1.441, 1.741]"
63,"[248.952, 229.008]","[-1.287, -0.796]","[-0.844, 2.108]"
64,"[285.683, 218.48]","[1.234, 0.736]","[2.216, -0.576]"
65,"[253.239, 234.763]","[-1.168, -0.657]","[0.501, -2.576]"
66,"[201.142, 155.995]","[-0.286, 1.446]","[-1.595, 1.079]"
67,"[305.914, 203.639]","[0.226, 0.317]","[-1.258, 1.65]"
68,"[186.121, 118.539]","[-0.864, -0.227]","[0.014, -2.55]"
69,"[265.478, 241.629]","[-1.255, -1.263]","[-1.431, 1.682]"
70,"[218.251, 216.087]","[-1.301, -0.171]","[2.707, -0.391]"
71,"[343.589, 292.025]","[1.297, 1.074]","[2.003, -1.269]"
