,Momenta,Eta,Phi
72,"[268.779, 263.564]","[-0.372, -0.647]","[0.411, 3.063]"
73,"[234.474, 230.034]","[-0.635, -1.354]","[2.849, -0.372]"
74,"[259.881, 241.367]","[1.485, 1.262]","[0.741, -2.546]"
75,"[292.381, 221.981]","[-1.224, -1.276]","[0.672, -2.695]"
76,"[238.704, 173.774]","[0.767, -0.639]","[-1.222, 1.922]"
77,"[869.895, 865.353]","[0.247, -0.918]","[0.265, -2.841]"
78,"[232.84, 227.946]","[0.415, 0.835]","[-0.936, 2.386]"
79,"[257.751, 219.668]","[-0.335, 0.324]","[0.94, -2.367]"
80,"[254.237, 247.158]","[-0.08, -0.137]","[0.592, -2.532]"
81,"[523.327, 156.342]","[0.298, -0.177]","[-1.881, 0.118]"
82,"[261.48, 216.5]","[-0.435, 0.039]","[2.293, -0.716]"
83,"[520.135, 121.926]","[0.096, 0.125]","[-0.58, 2.306]"
84,"[284.133, 171.897]","[1.703, 0.686]","[2.743, -0.382]"
85,"[251.784, 214.361]","[0.316, 1.229]","[1.743, -0.57]"
86,"[237.602, 129.709]","[0.533, -1.121]","[-1.42, 2.358]"
87,"[192.042, 179.86]","[0.629, -0.92]","[1.945, -1.204]"
88,"[202.066, 180.657]","[-0.616, -2.005]","[2.731, -0.629]"
89,"[251.321, 190.41]","[-1.045, 0.002]","[-1.13, 2.443]"
90,"[134.565, 127.191]","[-2.074, 0.487]","[-1.313, 1.71]"
91,"[212.253, 189.543]","[-2.371, -0.983]","[1.595, -1.641]"
92,"[269.479, 221.801]","[-0.867, -1.445]","[-1.452, 1.473]"
93,"[257.643, 237.344]","[0.382, 0.465]","[-1.559, 1.57]"
94,"[252.289, 243.077]","[0.015, 0.168]","[1.106, -2.083]"
95,"[281.489, 182.017]","[0.132, -0.35]","[1.447, -1.528]"
96,"[244.326, 225.074]","[1.232, 2.045]","[0.123, -2.994]"
97,"[228.662, 203.646]","[-1.115, -0.256]","[1.355, -2.134]"
98,"[290.08, 68.576]","[0.357, -2.134]","[-1.879, -0.185]"
99,"[314.788, 171.754]","[0.848, 0.058]","[-0.667, 2.209]"
100,"[275.621, 222.928]","[0.026, 0.323]","[-2.341, 0.624]"
101,"[352.672, 245.068]","[-0.518, 0.501]","[2.748, -2.143]"
102,"[273.856, 238.444]","[0.0, -0.087]","[-2.63, 0.515]"
103,"[306.544, 206.396]","[0.022, -0.967]","[-1.306, 2.633]"
104,"[231.857, 227.107]","[0.496, -0.223]","[-2.182, 1.32]"
105,"[212.5, 199.263]","[0.875, -0.384]","[-2.453, 0.401]"
106,"[259.37, 237.368]","[0.75, 0.953]","[2.227, -0.805]"
107,"[357.44, 211.545]","[0.478, 0.035]","[1.892, -2.218]"
108,"[368.728, 155.33]","[-0.03, 0.848]","[-1.041, 2.868]"
109,"[251.537, 241.993]","[-0.254, -0.623]","[-0.765, 2.339]"
110,"[282.82, 215.683]","[-1.198, -0.987]","[-3.095, -0.193]"
111,"[232.744, 228.153]","[-0.094, 0.609]","[2.898, -0.219]"
112,"[295.775, 193.991]","[-0.181, 0.229]","[2.093, -1.001]"
113,"[266.93, 231.519]","[1.38, 1.644]","[-2.749, 0.427]"
114,"[433.381, 237.194]","[1.222, 1.125]","[-1.856, 2.628]"
115,"[181.399, 160.927]","[-1.297, 0.518]","[-0.785, 2.322]"
116,"[268.907, 224.162]","[-1.376, -1.612]","[-0.827, 2.365]"
117,"[147.397, 112.579]","[0.332, -2.216]","[-0.602, 3.003]"
118,"[362.441, 261.352]","[0.689, -0.581]","[-0.039, -0.942]"
119,"[154.022, 144.57]","[2.09, 0.374]","[-0.155, 2.857]"
120,"[246.172, 224.439]","[1.509, 0.926]","[-2.678, 0.519]"
121,"[206.055, 184.821]","[0.623, -0.847]","[-1.941, 1.149]"
122,"[228.811, 180.13]","[0.469, 1.927]","[2.244, -0.683]"
123,"[187.775, 184.805]","[0.945, -0.824]","[-0.213, 2.88]"
124,"[238.924, 203.702]","[0.81, -0.785]","[0.888, -0.691]"
125,"[264.419, 228.983]","[0.786, 1.155]","[-0.224, 2.671]"
126,"[354.095, 179.438]","[1.234, 1.53]","[1.278, -1.28]"
127,"[289.12, 259.874]","[0.088, 1.021]","[1.726, -0.392]"
128,"[184.056, 162.917]","[0.507, -1.376]","[1.58, -1.161]"
129,"[315.286, 214.634]","[-1.25, -2.189]","[0.491, 2.402]"
130,"[308.964, 203.069]","[0.98, 1.137]","[-0.437, 2.533]"
131,"[244.16, 224.867]","[0.232, -0.433]","[1.123, -1.935]"
132,"[244.061, 225.619]","[-0.256, -0.963]","[-1.998, 1.078]"
133,"[249.049, 171.143]","[-0.402, 0.87]","[-2.755, 0.144]"
134,"[234.948, 226.399]","[-2.078, -1.318]","[1.294, -1.846]"
135,"[180.408, 164.732]","[0.701, -1.164]","[2.366, -0.917]"
136,"[327.68, 147.839]","[-1.387, 0.067]","[-0.213, -1.917]"
137,"[171.365, 148.762]","[2.192, 0.199]","[-2.578, 0.326]"
138,"[261.559, 235.724]","[-0.595, -0.02]","[1.514, -1.858]"
139,"[264.002, 216.491]","[-0.635, -0.831]","[-0.879, 2.244]"
140,"[248.258, 225.357]","[-0.293, -0.229]","[-1.874, 1.281]"
141,"[415.295, 301.994]","[0.607, 0.203]","[2.736, -0.091]"
142,"[342.739, 150.757]","[-0.051, -1.069]","[-0.237, -2.907]"
143,"[241.303, 222.577]","[0.692, 1.573]","[-2.614, 0.192]"
144,"[209.834, 175.505]","[1.684, 0.154]","[-3.088, 0.092]"
145,"[275.034, 266.796]","[-0.878, 0.308]","[-0.391, 1.072]"
146,"[280.579, 231.547]","[-0.499, -0.438]","[-0.534, 2.479]"
147,"[274.679, 186.243]","[2.06, 0.831]","[2.405, -0.593]"
148,"[467.34, 256.794]","[-0.157, -0.943]","[-2.542, -1.264]"
149,"[248.873, 243.852]","[0.512, 0.441]","[-1.306, 1.874]"
150,"[265.405, 221.39]","[-1.741, -1.233]","[2.45, -0.534]"
151,"[375.512, 150.482]","[0.164, 0.062]","[-0.274, 3.029]"
152,"[257.27, 243.966]","[0.627, 0.241]","[1.543, -1.958]"
153,"[258.734, 232.207]","[1.225, 1.154]","[-1.989, 1.251]"
154,"[236.941, 236.165]","[0.029, -0.29]","[0.708, -2.44]"
155,"[242.551, 234.552]","[0.627, 1.096]","[0.975, -2.239]"
156,"[235.814, 199.743]","[-0.994, 0.108]","[-2.995, 0.452]"
157,"[174.417, 145.874]","[-0.966, 1.099]","[0.832, -2.381]"
158,"[185.341, 174.544]","[0.88, -0.827]","[1.968, -1.192]"
159,"[283.031, 223.623]","[0.58, 0.483]","[2.802, -0.105]"
160,"[351.623, 190.66]","[-1.104, -0.72]","[-1.228, 1.325]"
161,"[251.01, 240.679]","[2.117, 1.595]","[2.372, -1.348]"
162,"[356.649, 282.441]","[-0.459, -0.192]","[0.626, -2.626]"
163,"[283.365, 217.822]","[1.778, 1.957]","[2.621, -0.555]"
164,"[276.835, 220.219]","[0.666, 0.172]","[0.702, -2.134]"
165,"[256.866, 239.144]","[-0.634, 0.126]","[3.116, 0.419]"
166,"[269.667, 217.102]","[-0.661, -0.734]","[-2.608, 0.079]"
167,"[296.291, 258.628]","[1.627, 1.432]","[-2.402, 0.926]"
168,"[265.793, 188.324]","[-0.794, 0.105]","[0.012, -3.039]"
169,"[256.275, 238.827]","[1.252, 0.808]","[-1.851, 1.295]"
170,"[308.02, 204.536]","[-1.465, -0.76]","[-1.371, 2.61]"
171,"[284.618, 242.422]","[0.103, 0.42]","[-2.247, 0.727]"
172,"[230.191, 207.925]","[-2.097, -1.368]","[-0.959, 2.107]"
173,"[355.72, 223.839]","[0.414, 0.288]","[2.076, -1.337]"
174,"[276.465, 225.977]","[0.318, -0.057]","[-1.374, 1.682]"
175,"[425.194, 187.346]","[-0.048, 0.032]","[1.536, -0.801]"
176,"[195.624, 80.794]","[-0.215, 2.388]","[1.756, -1.249]"
177,"[354.666, 146.786]","[-0.437, -1.495]","[-1.706, 0.8]"
178,"[244.197, 198.826]","[-1.064, -1.861]","[0.414, -2.933]"
179,"[261.14, 207.712]","[0.038, 0.756]","[-1.262, 1.694]"
180,"[325.193, 200.458]","[0.949, 1.089]","[-0.734, 2.804]"
181,"[278.176, 276.868]","[0.961, 1.421]","[1.215, -1.012]"
182,"[300.823, 208.996]","[-0.616, -0.496]","[-1.177, 2.296]"
183,"[296.84, 203.274]","[0.665, 1.395]","[-2.398, 0.658]"
184,"[272.179, 229.918]","[-0.33, 0.885]","[2.911, 1.173]"
185,"[202.901, 192.128]","[1.86, 0.44]","[-2.063, 1.027]"
186,"[249.143, 248.481]","[0.069, 0.237]","[2.707, -0.308]"
187,"[258.699, 185.413]","[-0.455, 0.564]","[-2.16, 0.9]"
188,"[270.117, 260.073]","[1.098, 1.111]","[-3.018, 0.696]"
189,"[172.514, 158.688]","[-2.382, -0.547]","[1.205, -2.176]"
190,"[262.782, 232.477]","[-0.353, -0.593]","[2.39, -0.863]"
191,"[481.073, 132.651]","[-0.053, 0.42]","[1.107, -2.164]"
192,"[235.324, 186.129]","[0.881, -0.703]","[1.498, -1.389]"
193,"[250.525, 235.778]","[-1.272, -1.316]","[2.488, -0.619]"
194,"[234.344, 232.867]","[0.88, 0.071]","[0.242, -2.952]"
195,"[124.563, 121.065]","[2.265, -1.207]","[3.108, -0.089]"
196,"[248.0, 220.748]","[0.483, -0.441]","[2.292, -0.707]"
197,"[223.887, 197.538]","[0.945, -0.117]","[-1.991, 1.338]"
198,"[335.01, 202.024]","[-0.047, 0.072]","[-0.486, 2.077]"
199,"[269.129, 146.913]","[1.042, -0.395]","[-2.066, 1.128]"
200,"[227.701, 222.876]","[0.563, 1.51]","[0.469, -2.873]"
201,"[276.986, 207.131]","[-0.245, 0.553]","[1.156, -2.499]"
202,"[272.697, 216.735]","[-0.574, -1.05]","[2.403, -0.692]"
203,"[235.965, 155.286]","[1.81, 0.279]","[-1.368, 1.911]"
204,"[238.845, 221.965]","[-0.165, 0.559]","[2.095, -0.861]"
205,"[255.878, 231.761]","[-0.066, -0.54]","[-2.465, 0.567]"
206,"[225.799, 140.184]","[0.42, 2.105]","[1.586, -1.463]"
207,"[259.484, 190.765]","[-0.833, 0.208]","[-1.943, 0.831]"
208,"[279.838, 215.725]","[-0.021, 0.173]","[-0.456, -3.128]"
209,"[221.093, 112.882]","[0.148, 2.295]","[1.866, -1.942]"
210,"[352.961, 115.889]","[-0.995, 0.897]","[3.022, 1.781]"
211,"[159.026, 105.179]","[-0.052, 2.326]","[-3.115, -0.167]"
212,"[224.912, 213.923]","[0.52, -0.465]","[-1.406, 1.794]"
213,"[246.101, 164.252]","[0.801, -0.608]","[2.175, -1.431]"
214,"[250.923, 247.944]","[-1.326, -1.022]","[-1.877, 1.38]"
215,"[232.664, 190.539]","[-0.372, 0.802]","[-3.017, 0.211]"
216,"[482.815, 392.187]","[0.601, -0.164]","[1.566, 0.748]"
217,"[305.06, 122.314]","[0.482, -0.938]","[-0.938, 2.423]"
218,"[255.633, 217.143]","[0.924, -0.03]","[2.915, -1.337]"
219,"[258.7, 222.393]","[0.037, -0.261]","[-1.387, 2.018]"
220,"[302.213, 221.844]","[-1.373, -1.434]","[-0.407, 3.094]"
221,"[237.496, 193.167]","[-1.174, -2.197]","[2.639, -0.494]"
222,"[388.047, 386.52]","[-1.08, -1.059]","[2.024, -1.114]"
223,"[296.514, 189.778]","[0.694, 0.095]","[2.605, -0.444]"
224,"[132.053, 126.307]","[2.08, -0.495]","[-0.196, 3.02]"
225,"[275.836, 211.863]","[-0.577, -0.076]","[-2.658, 0.539]"
226,"[254.209, 241.124]","[-0.947, -1.092]","[-2.485, 0.588]"
227,"[272.023, 200.442]","[-0.953, -0.065]","[2.038, -0.954]"
228,"[275.954, 210.731]","[1.279, 1.436]","[-1.555, 1.595]"
229,"[254.777, 186.077]","[-0.084, 1.009]","[1.709, -1.327]"
230,"[486.154, 133.775]","[0.183, -0.529]","[0.316, -1.901]"
231,"[145.998, 126.488]","[-1.909, 0.666]","[-3.02, 0.392]"
232,"[264.962, 226.304]","[-0.595, -0.211]","[1.324, -1.686]"
233,"[304.266, 217.675]","[0.174, 0.042]","[-0.2, -2.773]"
234,"[254.113, 207.323]","[1.22, 0.452]","[3.09, -0.077]"
235,"[259.824, 233.63]","[0.151, -0.199]","[-0.095, 2.994]"
236,"[315.778, 272.277]","[-1.662, -1.829]","[-1.881, 0.183]"
237,"[190.166, 182.036]","[-1.193, -0.022]","[-0.353, 2.677]"
238,"[209.669, 203.302]","[-1.097, 0.112]","[1.835, -1.281]"
239,"[207.599, 199.228]","[0.392, -0.877]","[0.648, -2.57]"
240,"[293.468, 279.497]","[0.115, 0.303]","[-0.446, 1.765]"
241,"[257.962, 152.186]","[-0.927, 0.441]","[-1.091, 2.29]"
242,"[246.931, 201.251]","[1.738, 0.7]","[1.081, -1.985]"
243,"[247.835, 239.469]","[0.277, -0.372]","[-2.645, 0.223]"
244,"[291.252, 170.436]","[-0.519, -1.464]","[2.424, -0.704]"
245,"[252.879, 237.849]","[1.351, 0.957]","[-0.482, 2.679]"
246,"[710.722, 74.863]","[0.073, -0.965]","[2.206, -0.18]"
247,"[248.04, 240.836]","[0.178, -0.178]","[-2.9, 0.234]"
248,"[242.988, 130.31]","[-0.388, 1.404]","[0.401, -3.106]"
249,"[385.275, 188.223]","[0.891, 0.564]","[2.501, -1.444]"
250,"[301.862, 49.09]","[-0.536, 2.183]","[-2.259, 1.681]"
251,"[252.597, 183.476]","[-0.353, 0.874]","[-0.08, 2.562]"
252,"[217.294, 197.621]","[0.788, -0.575]","[0.291, -2.86]"
253,"[245.979, 233.501]","[-2.238, -1.656]","[-3.031, 0.125]"
254,"[217.73, 212.097]","[-0.837, -1.695]","[2.317, -0.725]"
255,"[192.433, 101.363]","[0.74, -1.766]","[2.875, -1.014]"
256,"[260.351, 197.019]","[1.171, 0.122]","[-0.342, 2.306]"
257,"[190.047, 179.06]","[2.061, 0.447]","[-2.066, 1.107]"
258,"[156.763, 134.959]","[-0.935, 1.42]","[-0.915, 2.448]"
259,"[190.866, 148.247]","[-1.042, 0.903]","[1.124, -1.761]"
260,"[317.111, 213.057]","[-0.266, -0.326]","[2.134, -0.43]"
261,"[274.183, 245.809]","[0.628, 0.517]","[-1.98, 1.331]"
262,"[220.559, 175.16]","[-0.088, 1.44]","[0.952, -2.0]"
263,"[257.528, 243.385]","[-0.629, -0.942]","[1.71, -1.904]"
264,"[269.699, 226.814]","[0.32, 0.405]","[-1.366, 1.842]"
265,"[165.075, 121.585]","[-0.876, 1.477]","[0.738, -2.374]"
266,"[316.938, 303.351]","[0.976, -0.624]","[-1.18, 1.72]"
267,"[253.639, 240.412]","[-0.704, 0.051]","[-1.647, 1.674]"
268,"[210.945, 202.235]","[-1.054, 0.26]","[-2.535, 0.657]"
269,"[225.08, 214.677]","[-1.26, -0.235]","[-0.505, 2.671]"
270,"[278.032, 265.025]","[-0.863, 0.08]","[2.516, -0.652]"
271,"[311.385, 234.457]","[-0.465, -0.193]","[-0.821, 1.128]"
272,"[385.34, 215.928]","[-0.568, -0.943]","[-1.678, 2.489]"
273,"[329.134, 167.144]","[-0.408, -0.027]","[-2.783, 0.547]"
274,"[193.502, 185.676]","[-0.505, 0.927]","[1.289, -1.903]"
275,"[400.889, 322.533]","[0.517, -0.332]","[1.547, -1.56]"
276,"[295.118, 215.241]","[-1.191, -1.495]","[-0.151, -3.088]"
277,"[148.465, 123.686]","[2.254, -0.247]","[2.92, 0.267]"
278,"[216.936, 170.102]","[0.663, 2.28]","[0.353, -2.974]"
279,"[292.35, 219.785]","[0.188, 0.53]","[2.836, 0.266]"
280,"[154.557, 148.458]","[1.67, -0.516]","[-2.755, 0.372]"
281,"[247.197, 235.273]","[-2.1, -1.482]","[-0.943, 2.241]"
282,"[217.534, 188.614]","[1.047, -0.296]","[0.471, -2.554]"
283,"[281.49, 247.554]","[-1.467, -1.609]","[-0.999, 2.287]"
284,"[511.733, 117.826]","[-0.93, -0.865]","[0.215, -2.753]"
285,"[213.39, 203.926]","[0.705, -0.27]","[-0.233, 3.022]"
286,"[218.226, 187.535]","[0.329, 1.661]","[-2.802, 0.32]"
287,"[322.624, 193.893]","[-0.326, -0.066]","[-1.849, 1.223]"
288,"[247.968, 209.196]","[0.546, -0.391]","[0.499, -3.096]"
289,"[442.302, 116.768]","[0.649, -0.619]","[2.435, -1.699]"
290,"[256.847, 247.371]","[-0.459, -0.162]","[-0.537, 2.724]"
291,"[269.887, 220.321]","[-0.137, 0.053]","[0.683, -2.631]"
292,"[233.417, 198.303]","[-0.661, 0.37]","[0.43, -2.804]"
293,"[249.921, 218.169]","[-2.39, -1.772]","[1.708, -1.338]"
294,"[298.31, 159.15]","[0.002, -1.28]","[1.963, -0.152]"
295,"[229.698, 197.798]","[-0.589, -1.799]","[2.063, -0.915]"
296,"[324.881, 187.877]","[-0.711, -0.338]","[-0.412, 2.659]"
297,"[202.749, 178.533]","[0.451, -0.088]","[2.559, -0.275]"
298,"[248.83, 243.707]","[-0.812, -0.504]","[-2.561, 0.626]"
299,"[192.605, 155.591]","[0.851, -0.972]","[2.621, -0.403]"
300,"[339.051, 183.335]","[-0.881, -0.73]","[-2.473, 0.797]"
301,"[232.439, 188.332]","[-1.804, -0.54]","[1.677, -1.815]"
302,"[218.436, 217.289]","[0.368, -0.644]","[-1.8, 1.366]"
303,"[354.412, 179.971]","[0.715, 0.666]","[1.761, -1.168]"
304,"[287.87, 199.995]","[-1.161, -1.777]","[-2.498, 0.846]"
305,"[235.807, 227.777]","[1.286, 0.579]","[1.163, -2.102]"
306,"[251.845, 246.08]","[1.301, 1.553]","[0.797, -2.352]"
307,"[254.134, 224.798]","[-1.158, -1.689]","[-2.895, 0.279]"
308,"[263.494, 253.459]","[-1.312, -1.342]","[0.481, -2.596]"
309,"[369.571, 148.705]","[0.766, 0.071]","[2.775, -0.662]"
310,"[410.879, 349.361]","[-1.019, -1.262]","[1.747, -1.34]"
311,"[300.093, 281.318]","[-0.332, -0.812]","[0.5, -2.792]"
312,"[322.225, 191.606]","[-0.872, -0.512]","[-0.828, 2.539]"
313,"[259.307, 246.271]","[-0.252, -0.276]","[0.904, -2.315]"
314,"[247.623, 236.237]","[-0.668, -0.608]","[-2.478, 0.838]"
315,"[275.932, 228.843]","[-0.622, -0.549]","[-2.211, 1.201]"
316,"[354.115, 181.321]","[-0.942, -0.866]","[-2.309, 0.708]"
317,"[230.014, 159.226]","[-0.897, 0.802]","[-1.368, 2.641]"
318,"[247.515, 212.165]","[0.616, -0.251]","[-0.047, 2.896]"
319,"[297.912, 165.958]","[-0.302, 0.739]","[1.213, -1.935]"
320,"[240.48, 232.089]","[0.773, 1.492]","[1.751, -1.421]"
321,"[245.469, 228.194]","[0.797, 0.052]","[-0.567, 2.371]"
322,"[198.095, 153.062]","[-0.364, -2.15]","[1.53, -1.645]"
323,"[270.466, 259.253]","[-0.7, -0.258]","[-1.916, 1.137]"
324,"[199.92, 188.318]","[0.117, -1.367]","[-0.24, 2.853]"
325,"[242.97, 210.717]","[0.345, -0.576]","[2.422, -0.75]"
326,"[347.722, 201.246]","[0.955, 0.224]","[-1.172, 2.92]"
327,"[260.408, 235.264]","[-0.366, -0.272]","[1.604, -1.735]"
328,"[190.697, 150.293]","[-2.015, -0.122]","[3.003, -0.097]"
329,"[271.978, 258.957]","[0.267, 0.41]","[0.671, 3.009]"
330,"[133.836, 129.216]","[2.041, -0.55]","[0.989, -2.227]"
331,"[254.625, 157.193]","[-0.32, 1.21]","[-1.049, 3.126]"
332,"[292.284, 205.898]","[1.589, 0.092]","[2.75, -2.278]"
333,"[320.751, 67.94]","[0.575, -1.719]","[1.222, -0.396]"
334,"[236.987, 209.884]","[0.377, -0.806]","[2.624, 0.08]"
335,"[217.837, 198.121]","[0.187, -1.026]","[0.381, -2.737]"
336,"[228.582, 127.124]","[-0.722, 1.134]","[-2.907, 0.15]"
337,"[271.917, 264.447]","[-0.214, 0.084]","[1.983, -0.717]"
338,"[126.858, 91.899]","[-1.875, 1.111]","[-1.033, 2.368]"
339,"[308.616, 218.508]","[0.824, 0.442]","[-0.719, 1.71]"
340,"[254.065, 224.82]","[1.103, 0.411]","[-0.187, 2.612]"
341,"[292.863, 206.12]","[1.086, 1.678]","[2.708, 0.086]"
342,"[232.752, 214.806]","[0.55, 1.354]","[-0.367, 2.848]"
343,"[351.007, 194.201]","[0.637, 0.136]","[-3.128, -1.118]"
344,"[283.783, 254.199]","[0.398, -0.421]","[0.506, -1.531]"
345,"[229.226, 196.989]","[0.914, 2.216]","[-1.014, 2.386]"
346,"[230.877, 222.099]","[0.243, -0.804]","[1.756, -1.241]"
347,"[256.577, 232.914]","[-0.042, -0.319]","[2.599, -0.79]"
348,"[287.238, 227.74]","[0.204, 0.503]","[-2.583, -0.124]"
349,"[483.509, 140.09]","[-0.384, -0.042]","[0.404, 3.119]"
350,"[179.81, 175.71]","[0.897, -0.712]","[1.312, -1.676]"
351,"[198.971, 181.746]","[0.389, -1.175]","[-0.972, 2.454]"
352,"[150.508, 110.199]","[-0.567, -1.013]","[-1.707, 1.765]"
353,"[147.755, 98.3]","[0.322, -2.45]","[-0.807, 1.605]"
354,"[219.13, 209.13]","[0.993, 2.124]","[-2.523, 0.657]"
355,"[352.643, 168.193]","[-0.045, -0.149]","[-2.405, 0.915]"
356,"[242.797, 216.477]","[-0.217, -1.012]","[2.37, -1.112]"
357,"[171.862, 160.429]","[-1.354, 0.552]","[1.827, -1.107]"
358,"[270.34, 184.381]","[1.932, 0.863]","[-2.407, 1.235]"
359,"[288.492, 134.735]","[0.257, 1.205]","[1.117, -2.002]"
360,"[234.96, 230.419]","[0.214, -0.58]","[-1.881, 1.246]"
361,"[270.814, 222.167]","[-0.17, -0.289]","[0.808, -2.264]"
362,"[281.507, 230.551]","[-1.038, -0.273]","[-2.429, 1.27]"
363,"[271.91, 211.267]","[-0.077, 0.745]","[-0.542, 2.392]"
364,"[479.099, 157.898]","[-0.415, -0.048]","[2.334, 0.198]"
365,"[249.944, 225.74]","[0.024, -0.425]","[1.085, -2.115]"
366,"[240.824, 222.336]","[-1.604, -2.409]","[2.699, -0.343]"
