,Momenta,Eta,Phi
0,"[519.673, 469.388]","[0.424, 0.798]","[2.739, -0.511]"
1,"[442.032, 439.152]","[-0.815, -1.852]","[1.608, -1.49]"
2,"[624.765, 437.404]","[1.293, 0.979]","[-1.904, 1.871]"
3,"[511.59, 482.194]","[0.286, 0.5]","[1.717, -1.648]"
4,"[450.602, 298.556]","[-1.358, 0.475]","[-1.067, 2.049]"
5,"[507.274, 485.706]","[0.74, 0.658]","[-0.737, 2.487]"
6,"[487.417, 468.074]","[-1.342, -1.291]","[-0.375, 2.699]"
7,"[476.553, 433.238]","[1.514, 0.679]","[-0.348, 2.6]"
8,"[782.628, 687.383]","[-0.367, -1.374]","[1.55, -1.249]"
9,"[448.775, 447.768]","[-0.672, -1.495]","[-2.733, 0.458]"
10,"[455.484, 436.945]","[0.817, 1.825]","[2.353, -0.757]"
11,"[446.245, 419.667]","[-0.805, 0.292]","[0.42, -2.724]"
12,"[699.482, 438.621]","[0.997, 0.459]","[0.56, -1.42]"
13,"[433.671, 356.421]","[-1.161, -0.327]","[-0.391, 2.649]"
14,"[310.041, 293.01]","[1.754, -0.35]","[-0.97, 2.036]"
15,"[469.792, 457.041]","[0.748, 1.285]","[-0.424, 2.71]"
16,"[674.782, 197.955]","[1.025, -0.375]","[1.029, -2.055]"
17,"[517.2, 474.103]","[-0.435, -0.201]","[1.881, -1.235]"
18,"[387.961, 283.772]","[2.347, 0.21]","[0.67, -2.726]"
19,"[511.913, 437.75]","[-0.461, 0.213]","[-2.18, 1.067]"
20,"[488.085, 469.838]","[0.626, 1.104]","[1.011, -2.148]"
21,"[464.283, 65.876]","[0.67, -1.138]","[2.684, -0.543]"
22,"[501.653, 493.919]","[-0.656, -0.95]","[-1.228, 2.074]"
23,"[390.861, 388.844]","[0.29, 1.007]","[-0.748, 2.476]"
24,"[225.615, 161.854]","[-2.12, 1.063]","[1.421, -1.716]"
25,"[496.231, 485.55]","[-1.494, -1.204]","[-1.546, 1.683]"
26,"[487.865, 404.933]","[-1.161, -0.149]","[2.518, -1.273]"
27,"[397.324, 298.238]","[0.844, -0.985]","[3.021, 0.021]"
28,"[617.152, 296.862]","[0.116, -1.252]","[-1.821, 0.482]"
29,"[501.776, 499.246]","[1.462, 1.447]","[-1.86, 1.307]"
30,"[357.397, 240.586]","[-0.971, 1.268]","[-1.344, 1.747]"
31,"[240.318, 237.596]","[1.209, -1.485]","[-1.982, 1.09]"
32,"[352.66, 335.528]","[-0.399, 1.473]","[-2.571, 0.269]"
33,"[475.122, 450.318]","[0.255, 1.04]","[-2.626, 0.529]"
34,"[486.533, 440.837]","[0.548, -0.144]","[1.423, -1.575]"
