,Momenta,Eta,Phi
67,"[195.343, 192.186]","[-1.328, -0.69]","[-0.744, 2.366]"
68,"[205.244, 151.388]","[-0.694, -1.837]","[-2.191, 0.808]"
69,"[362.332, 350.075]","[1.333, 1.213]","[0.453, -3.004]"
70,"[140.563, 90.447]","[-1.513, 0.8]","[-2.23, 1.117]"
71,"[251.168, 161.234]","[-1.069, -0.378]","[-0.221, -3.016]"
72,"[233.652, 160.663]","[-1.481, -0.264]","[0.029, -2.289]"
73,"[242.78, 242.0]","[0.206, -0.947]","[-0.198, 2.927]"
74,"[294.637, 194.97]","[-0.517, -0.113]","[1.684, -2.531]"
75,"[206.044, 192.198]","[1.354, -0.134]","[0.503, -2.622]"
76,"[165.858, 152.115]","[0.232, 1.792]","[2.414, -0.508]"
77,"[209.778, 175.775]","[-0.372, 0.297]","[2.079, -1.06]"
78,"[170.99, 170.771]","[-1.106, 1.049]","[-1.09, 2.101]"
79,"[233.693, 137.589]","[0.934, -1.536]","[-3.03, -1.468]"
80,"[309.208, 135.864]","[-0.754, 1.332]","[2.293, -2.339]"
81,"[151.396, 151.298]","[1.781, 0.396]","[1.33, -1.757]"
82,"[294.319, 272.296]","[0.431, 1.092]","[-1.722, 1.49]"
83,"[192.115, 176.63]","[1.415, 0.132]","[-0.99, 2.786]"
84,"[228.55, 202.497]","[-1.13, 0.241]","[-2.724, 0.936]"
85,"[191.334, 184.024]","[-0.476, -1.325]","[1.544, -1.754]"
86,"[185.409, 180.413]","[-0.51, 0.819]","[-1.816, 2.094]"
87,"[101.364, 70.327]","[-2.066, 1.052]","[-2.091, 0.91]"
88,"[235.562, 218.812]","[0.378, -0.303]","[-1.53, 1.317]"
89,"[226.604, 214.979]","[1.753, 1.366]","[-0.49, 2.713]"
90,"[185.025, 178.383]","[-1.221, -0.662]","[0.749, -2.372]"
91,"[202.493, 192.13]","[-1.397, -1.017]","[0.551, -1.846]"
92,"[228.3, 196.323]","[1.179, 0.443]","[2.065, -1.34]"
93,"[332.518, 299.194]","[1.28, 2.294]","[-2.887, 0.285]"
94,"[155.881, 129.692]","[0.34, -1.731]","[2.476, -0.73]"
95,"[233.245, 206.337]","[-0.864, 0.292]","[-1.796, 1.151]"
96,"[184.015, 177.908]","[0.187, 2.164]","[-0.217, 2.878]"
97,"[210.656, 165.009]","[1.779, 2.157]","[1.723, -1.044]"
98,"[340.451, 329.862]","[-0.767, -1.394]","[1.038, -2.07]"
99,"[401.161, 172.798]","[-0.121, 0.036]","[0.853, 2.642]"
100,"[217.362, 171.735]","[0.542, -0.277]","[3.01, -0.072]"
101,"[189.197, 142.168]","[1.091, -0.398]","[-0.861, 1.766]"
102,"[141.714, 98.512]","[1.17, -1.523]","[2.773, 0.779]"
103,"[134.663, 55.001]","[-0.598, 2.258]","[-1.857, 1.162]"
104,"[285.192, 220.476]","[0.699, -0.419]","[2.505, -0.633]"
105,"[271.146, 145.947]","[-0.113, -0.799]","[2.142, -1.733]"
106,"[186.057, 181.46]","[1.432, 2.226]","[0.39, -2.842]"
107,"[504.26, 448.036]","[-0.524, 0.141]","[1.585, -1.516]"
108,"[272.519, 238.084]","[0.679, 0.406]","[-0.819, 2.341]"
109,"[171.603, 144.723]","[-2.467, -0.903]","[-0.061, -3.079]"
110,"[191.887, 177.554]","[-0.082, 1.155]","[2.072, -0.97]"
111,"[173.592, 160.852]","[1.513, -0.252]","[-0.257, 2.814]"
112,"[222.699, 177.925]","[-1.261, -1.138]","[-2.691, 0.047]"
113,"[251.977, 250.436]","[-1.106, -0.251]","[-0.625, 2.552]"
114,"[164.799, 124.098]","[0.947, -0.708]","[1.143, -1.961]"
115,"[146.887, 120.823]","[1.331, -0.521]","[1.695, -0.473]"
116,"[361.03, 335.808]","[0.903, 0.242]","[-1.978, 1.053]"
117,"[166.881, 145.267]","[0.784, -2.032]","[-1.532, 1.509]"
118,"[167.018, 149.517]","[2.202, 0.372]","[-1.581, 1.731]"
119,"[224.417, 159.039]","[0.445, 0.501]","[2.244, -0.819]"
120,"[212.53, 188.965]","[1.404, 1.678]","[-1.933, 1.374]"
121,"[190.967, 183.692]","[1.06, 1.227]","[1.469, -1.664]"
122,"[111.018, 103.765]","[1.578, -0.936]","[-1.774, 1.392]"
123,"[167.05, 163.316]","[-0.519, 2.223]","[1.488, -1.66]"
124,"[255.398, 219.316]","[1.813, 1.893]","[0.146, -2.902]"
125,"[192.737, 176.453]","[0.701, 0.197]","[2.748, -0.406]"
126,"[153.736, 126.501]","[-1.502, 0.897]","[-2.502, 0.586]"
127,"[212.333, 170.826]","[-0.256, -1.156]","[1.257, -1.587]"
128,"[241.541, 180.119]","[0.141, 1.354]","[-2.438, 0.729]"
129,"[169.791, 168.229]","[-1.351, -2.372]","[-1.345, 1.684]"
130,"[166.427, 96.801]","[-1.789, -0.382]","[-2.795, 0.75]"
131,"[224.74, 199.18]","[0.281, -0.374]","[1.008, -2.079]"
132,"[476.78, 390.826]","[-0.987, 0.094]","[-1.138, 2.045]"
133,"[234.42, 213.268]","[-2.365, -1.948]","[-0.333, 2.79]"
134,"[193.52, 186.402]","[-0.998, -2.139]","[2.962, 0.468]"
135,"[277.837, 265.49]","[0.268, -0.8]","[-1.284, 1.846]"
136,"[245.483, 160.16]","[1.661, 0.989]","[-2.3, 0.856]"
137,"[232.198, 220.253]","[1.026, 1.688]","[2.104, -0.966]"
138,"[202.624, 184.675]","[-0.968, -0.773]","[-0.867, 2.228]"
139,"[244.937, 196.738]","[0.018, -0.305]","[-0.944, 2.296]"
140,"[198.665, 154.099]","[1.98, 1.044]","[0.111, -2.682]"
141,"[203.013, 200.552]","[-0.353, 0.014]","[1.771, -1.113]"
142,"[268.497, 214.51]","[0.755, 0.831]","[0.085, -2.883]"
143,"[183.602, 174.74]","[0.372, -0.016]","[1.065, -2.18]"
144,"[207.425, 146.455]","[0.23, 1.976]","[1.249, -1.927]"
145,"[176.331, 175.975]","[-2.147, -0.753]","[2.407, -0.719]"
146,"[177.133, 175.851]","[-0.61, 0.766]","[-1.944, 1.2]"
147,"[401.77, 392.727]","[-0.528, -2.225]","[2.604, 0.11]"
148,"[174.573, 159.272]","[-1.631, 0.475]","[2.734, -0.188]"
149,"[158.9, 155.327]","[1.306, -0.137]","[-0.708, 2.484]"
150,"[224.527, 94.315]","[-1.963, 0.098]","[-0.212, -2.806]"
151,"[218.51, 164.184]","[-1.548, -0.611]","[-2.788, 0.374]"
152,"[225.418, 193.191]","[1.14, -0.945]","[0.992, -2.254]"
153,"[300.492, 288.369]","[-1.312, 0.301]","[-1.624, 1.597]"
154,"[120.012, 114.873]","[-0.417, 2.298]","[3.038, 0.304]"
155,"[248.857, 204.441]","[-1.75, -0.276]","[-1.281, 2.055]"
156,"[108.413, 102.651]","[2.237, -0.1]","[-2.922, 0.402]"
157,"[191.211, 182.977]","[-0.88, -1.595]","[0.076, -2.819]"
158,"[126.958, 122.899]","[1.009, -1.336]","[1.882, -0.987]"
159,"[355.601, 326.773]","[1.498, 0.778]","[1.371, -1.855]"
160,"[386.117, 355.726]","[-0.338, -0.617]","[-2.211, 0.944]"
161,"[250.986, 234.488]","[1.398, 0.536]","[-0.136, 3.026]"
162,"[205.505, 200.654]","[0.448, 0.37]","[0.98, -2.209]"
163,"[206.489, 108.171]","[-0.73, 1.292]","[2.031, -1.306]"
164,"[161.737, 161.447]","[-1.166, -2.375]","[1.973, -1.24]"
165,"[234.545, 164.222]","[0.022, 0.854]","[2.28, -0.16]"
166,"[489.395, 143.299]","[-1.887, -1.045]","[0.098, 2.72]"
167,"[273.991, 195.406]","[-0.706, 0.098]","[-1.413, 1.632]"
168,"[185.353, 180.068]","[0.555, -0.048]","[2.1, -1.042]"
169,"[287.84, 193.058]","[-0.675, 1.049]","[1.376, -1.618]"
170,"[301.207, 292.641]","[-2.191, -1.87]","[-2.545, 0.59]"
171,"[315.989, 274.037]","[1.05, 0.101]","[3.051, -0.062]"
172,"[156.266, 142.0]","[0.572, -1.479]","[-1.945, 1.293]"
173,"[221.625, 221.45]","[1.156, 0.36]","[2.799, -0.351]"
174,"[194.958, 172.994]","[-0.86, 0.415]","[2.325, -0.343]"
175,"[272.375, 186.6]","[-1.357, 1.289]","[-1.825, 1.325]"
176,"[158.569, 136.301]","[-1.131, 0.564]","[0.557, -2.629]"
177,"[271.163, 268.256]","[1.211, 1.308]","[1.799, -1.288]"
178,"[472.126, 329.747]","[1.002, 0.002]","[1.637, 0.739]"
179,"[208.458, 203.387]","[-1.101, -2.034]","[2.226, -0.838]"
180,"[197.243, 166.724]","[0.252, -0.384]","[0.456, -2.622]"
181,"[234.598, 180.944]","[0.675, 1.382]","[2.629, -0.419]"
182,"[332.189, 329.002]","[0.758, -0.095]","[-1.764, 1.393]"
183,"[162.939, 161.325]","[0.989, -0.354]","[0.975, -2.301]"
184,"[556.782, 426.147]","[1.119, -1.281]","[-0.8, 2.729]"
185,"[262.186, 92.633]","[1.028, -0.428]","[-0.218, -3.027]"
186,"[195.301, 187.953]","[-0.512, 0.451]","[-1.416, 1.938]"
187,"[461.0, 454.505]","[0.138, -0.188]","[-0.682, 2.472]"
188,"[242.567, 223.49]","[0.627, 1.043]","[0.13, -2.666]"
189,"[172.283, 166.528]","[0.718, -0.319]","[-2.427, 0.716]"
190,"[257.801, 248.522]","[1.351, 1.082]","[2.853, -0.259]"
191,"[232.486, 212.216]","[-1.358, -2.049]","[2.378, -0.705]"
192,"[118.583, 111.997]","[-1.274, 0.949]","[-2.144, 1.049]"
193,"[152.55, 106.328]","[-1.125, 1.041]","[3.105, -0.226]"
194,"[246.14, 232.332]","[0.086, -1.802]","[-0.345, 2.812]"
195,"[151.965, 137.408]","[0.055, 1.702]","[0.454, 2.903]"
196,"[217.902, 216.128]","[-0.057, -0.575]","[-2.64, 0.512]"
197,"[136.583, 130.001]","[1.114, -1.425]","[2.268, -0.872]"
198,"[211.853, 159.886]","[0.501, 1.755]","[0.083, -3.044]"
199,"[255.423, 237.592]","[-0.447, -0.108]","[0.652, -2.054]"
200,"[141.074, 137.074]","[-0.633, 1.083]","[0.361, -2.76]"
201,"[206.244, 196.197]","[-0.104, -1.636]","[1.377, -1.649]"
202,"[189.47, 181.609]","[-2.46, -1.005]","[1.99, -1.174]"
203,"[175.348, 152.426]","[-0.126, 1.173]","[-1.917, 1.509]"
204,"[260.565, 234.888]","[0.501, 1.558]","[-0.8, 2.426]"
205,"[169.2, 158.359]","[2.378, 0.79]","[2.945, -0.243]"
206,"[295.052, 128.193]","[0.258, 0.725]","[-1.839, 1.602]"
207,"[225.662, 184.567]","[2.194, 1.545]","[-1.324, 1.594]"
208,"[125.03, 123.594]","[0.96, -1.159]","[2.941, -0.124]"
209,"[181.509, 174.272]","[1.834, -0.062]","[-1.94, 1.141]"
210,"[261.035, 117.404]","[-0.058, 0.89]","[1.014, -2.501]"
211,"[195.363, 193.683]","[0.333, -0.748]","[1.83, -1.274]"
212,"[263.225, 260.757]","[1.846, 0.484]","[1.011, -2.1]"
213,"[180.655, 174.218]","[-0.516, 0.436]","[-0.12, 2.745]"
214,"[246.698, 213.383]","[-1.139, -1.408]","[0.977, -2.2]"
215,"[189.904, 181.069]","[2.191, 1.477]","[0.0, 3.134]"
216,"[189.116, 130.795]","[0.598, 2.173]","[-1.345, 2.039]"
217,"[163.837, 159.0]","[-0.489, 2.074]","[-1.547, 1.478]"
218,"[230.445, 211.848]","[0.39, 0.402]","[0.971, -1.993]"
219,"[211.121, 192.889]","[0.557, 1.935]","[1.135, -2.202]"
220,"[265.372, 238.535]","[1.001, 2.116]","[2.4, -0.662]"
221,"[358.531, 331.643]","[-1.0, -0.547]","[0.175, -2.744]"
222,"[241.608, 236.558]","[1.971, 0.828]","[0.084, -3.076]"
223,"[338.687, 321.536]","[-1.239, -1.553]","[-1.744, 1.437]"
224,"[242.821, 238.479]","[0.58, 2.061]","[0.853, -2.3]"
225,"[345.278, 344.833]","[1.022, 0.295]","[0.454, -2.629]"
226,"[191.212, 190.03]","[0.267, 1.671]","[1.381, -1.751]"
227,"[245.997, 244.775]","[-1.094, -1.948]","[-0.499, 2.971]"
228,"[138.106, 135.818]","[-1.501, 0.218]","[1.509, -1.516]"
229,"[143.815, 81.958]","[0.682, -2.07]","[-1.407, 0.712]"
230,"[217.112, 216.281]","[0.519, 1.006]","[0.43, -2.657]"
231,"[213.561, 203.5]","[0.18, 0.248]","[1.347, -1.698]"
232,"[206.973, 171.604]","[-0.376, 0.655]","[-0.147, -2.353]"
233,"[305.236, 303.444]","[-0.068, 0.822]","[-2.568, 0.517]"
234,"[118.445, 112.006]","[-2.22, -0.005]","[2.522, -0.54]"
235,"[226.549, 154.779]","[-1.474, -2.254]","[2.013, -1.053]"
236,"[201.733, 172.255]","[1.372, 0.515]","[2.063, -0.91]"
237,"[275.868, 269.677]","[-0.329, -0.474]","[2.92, -0.209]"
238,"[128.948, 106.541]","[-0.147, 2.495]","[-0.913, 2.081]"
239,"[175.977, 167.599]","[0.272, 1.707]","[-1.291, 1.9]"
240,"[195.336, 187.901]","[0.455, 0.796]","[0.531, -2.66]"
241,"[202.109, 201.809]","[-1.506, -1.426]","[2.299, -0.895]"
242,"[277.825, 269.251]","[1.718, 1.871]","[-0.577, 2.526]"
243,"[304.482, 298.235]","[2.429, 1.827]","[-1.495, 1.698]"
244,"[324.52, 313.654]","[1.248, -0.002]","[-1.353, 1.795]"
245,"[196.752, 189.291]","[-0.137, 0.612]","[-2.314, 0.81]"
246,"[284.025, 242.96]","[1.627, 1.689]","[0.217, -2.919]"
247,"[159.786, 146.748]","[0.349, -1.755]","[-0.564, 2.684]"
248,"[200.326, 189.022]","[0.689, 0.448]","[-1.818, 1.657]"
249,"[253.044, 177.944]","[0.951, -0.068]","[1.899, -1.821]"
250,"[218.996, 206.717]","[1.74, 2.006]","[-0.297, 2.799]"
251,"[284.634, 249.499]","[-0.329, 0.845]","[-1.412, 1.895]"
252,"[213.299, 209.652]","[0.77, 0.601]","[-1.93, 1.291]"
253,"[132.903, 119.612]","[0.009, 1.979]","[1.082, -2.102]"
254,"[209.612, 149.839]","[0.225, -0.562]","[-2.955, -0.054]"
255,"[269.898, 243.582]","[0.456, -1.311]","[-2.305, 0.883]"
256,"[233.647, 232.866]","[-1.953, -0.788]","[0.009, -3.11]"
257,"[143.439, 135.779]","[-2.276, -0.139]","[2.411, -0.657]"
258,"[216.293, 212.42]","[-0.228, 0.717]","[-0.65, 2.353]"
259,"[48.364, 42.057]","[2.204, -2.095]","[-1.115, 2.179]"
260,"[187.934, 186.881]","[0.484, 0.75]","[-1.461, 1.674]"
261,"[329.934, 323.248]","[-0.509, 0.196]","[0.538, -2.618]"
262,"[310.358, 286.501]","[0.334, 0.739]","[2.156, -0.988]"
263,"[276.839, 214.494]","[0.26, -0.513]","[-2.6, 0.419]"
264,"[335.375, 329.999]","[0.937, 1.605]","[0.012, -3.131]"
265,"[211.522, 157.901]","[-0.892, -1.816]","[2.185, -0.796]"
266,"[328.116, 265.248]","[0.36, -0.606]","[1.127, -1.739]"
267,"[157.712, 137.646]","[-2.472, -0.927]","[2.46, -0.934]"
268,"[146.64, 124.398]","[-0.388, 1.543]","[2.046, -1.222]"
269,"[319.515, 308.797]","[0.315, 1.997]","[0.862, -2.239]"
270,"[204.133, 163.608]","[-0.478, -1.323]","[-0.092, -2.738]"
271,"[138.137, 133.511]","[2.266, 0.519]","[-2.478, 0.717]"
272,"[233.611, 217.549]","[-1.466, -2.354]","[-1.529, 1.685]"
273,"[205.292, 202.318]","[0.083, -0.012]","[1.511, -1.573]"
274,"[179.807, 174.118]","[-1.098, -2.275]","[-1.097, 2.038]"
275,"[135.567, 117.495]","[0.121, -2.231]","[2.143, -0.668]"
276,"[179.218, 147.172]","[-0.935, 0.505]","[0.46, -2.53]"
277,"[260.151, 244.55]","[1.38, 0.144]","[-1.764, 1.243]"
278,"[720.295, 709.638]","[1.53, 0.373]","[2.851, -0.167]"
279,"[210.981, 169.662]","[0.057, 1.129]","[-1.931, 1.337]"
280,"[161.975, 108.398]","[0.48, 2.444]","[2.472, -1.259]"
281,"[124.571, 94.563]","[-0.796, 2.182]","[2.68, -0.138]"
282,"[514.126, 497.402]","[0.869, -0.612]","[0.979, -2.054]"
283,"[129.88, 126.307]","[-2.158, 0.515]","[0.283, -2.846]"
284,"[224.878, 199.168]","[-0.708, -2.115]","[-1.594, 0.884]"
285,"[245.777, 168.882]","[0.796, -0.575]","[2.68, 0.26]"
286,"[192.352, 175.334]","[1.687, 0.599]","[2.827, -0.145]"
287,"[192.1, 166.482]","[0.12, -1.331]","[2.599, -0.529]"
288,"[253.56, 246.889]","[-0.501, 0.612]","[3.112, -0.192]"
289,"[89.7, 80.724]","[-1.776, 1.17]","[-1.481, 1.635]"
290,"[114.082, 109.172]","[0.834, -2.002]","[-1.275, 1.813]"
291,"[197.256, 186.598]","[1.677, 0.81]","[1.834, -1.394]"
292,"[203.05, 201.597]","[0.478, 0.367]","[0.945, -2.072]"
293,"[179.059, 175.397]","[0.812, 2.225]","[-1.693, 1.432]"
294,"[491.079, 444.835]","[-0.846, -1.246]","[1.483, -1.714]"
295,"[215.693, 173.675]","[-1.923, -0.637]","[-0.751, 2.134]"
296,"[325.494, 311.173]","[-2.393, -2.403]","[-3.021, 0.149]"
297,"[269.83, 127.21]","[0.413, -0.381]","[0.312, -2.808]"
298,"[286.276, 221.271]","[0.566, -1.052]","[0.976, -2.202]"
299,"[184.534, 174.404]","[-1.874, -1.085]","[-0.423, 2.694]"
300,"[199.31, 190.559]","[-0.827, -0.736]","[-0.68, 2.493]"
301,"[222.022, 194.534]","[-0.456, -0.47]","[-1.356, 1.66]"
302,"[154.369, 150.874]","[1.347, -1.301]","[1.849, -1.093]"
303,"[244.894, 209.475]","[-0.057, 0.928]","[0.331, -2.364]"
304,"[190.892, 179.634]","[-0.504, -1.319]","[1.279, -1.686]"
305,"[189.305, 186.184]","[-1.346, -0.515]","[-0.286, 2.848]"
306,"[284.204, 212.203]","[1.248, 2.141]","[0.748, -2.169]"
307,"[168.266, 165.671]","[1.087, -0.362]","[3.125, -0.076]"
308,"[198.231, 197.945]","[-2.26, -1.829]","[2.358, -0.775]"
309,"[279.007, 211.161]","[1.675, 1.057]","[2.51, -0.728]"
310,"[223.363, 184.136]","[-0.194, -0.371]","[2.819, -0.356]"
311,"[296.051, 167.938]","[1.101, 1.439]","[0.431, -2.015]"
312,"[211.497, 209.173]","[-1.774, -1.793]","[0.842, -2.221]"
313,"[208.302, 190.554]","[1.776, 0.54]","[1.866, -1.221]"
314,"[202.117, 186.647]","[1.846, -0.142]","[-1.825, 1.304]"
315,"[195.041, 177.467]","[1.719, 1.355]","[0.667, -2.648]"
316,"[198.549, 197.582]","[0.953, 1.756]","[-3.093, -0.041]"
317,"[129.535, 119.19]","[-1.935, 0.859]","[0.23, -3.093]"
318,"[228.067, 224.836]","[2.442, 1.383]","[-0.753, 2.39]"
319,"[435.011, 386.707]","[-0.977, -0.045]","[-1.288, 1.83]"
320,"[258.25, 226.917]","[-1.222, -0.338]","[-2.228, 1.335]"
321,"[206.73, 190.449]","[2.0, 1.524]","[2.907, -0.345]"
322,"[233.657, 217.792]","[1.61, 0.922]","[-2.584, 0.491]"
323,"[250.066, 188.656]","[1.307, 1.33]","[0.481, -2.077]"
324,"[208.662, 206.187]","[0.023, -0.118]","[2.946, -0.224]"
325,"[217.001, 180.752]","[-1.449, -1.189]","[-1.438, 1.79]"
326,"[258.476, 239.035]","[-0.759, -1.252]","[2.943, -0.165]"
327,"[203.568, 145.773]","[-0.24, -1.304]","[-0.634, 2.913]"
328,"[142.432, 136.81]","[1.526, -0.389]","[1.137, -1.931]"
329,"[251.908, 165.402]","[-0.451, -2.004]","[1.508, -1.094]"
330,"[240.312, 201.475]","[-0.646, 0.932]","[2.985, -0.157]"
331,"[168.143, 164.257]","[0.191, -1.242]","[0.124, -3.045]"
332,"[300.346, 137.896]","[1.112, 1.334]","[-1.782, 1.655]"
333,"[417.096, 196.422]","[0.456, 1.302]","[-3.024, -1.117]"
334,"[254.785, 224.36]","[0.371, -0.919]","[-2.194, 0.805]"
335,"[122.21, 73.279]","[1.941, -0.983]","[0.091, -2.644]"
336,"[304.979, 303.081]","[1.501, -0.743]","[2.282, -0.841]"
337,"[106.569, 99.242]","[-1.405, 1.254]","[-2.807, 0.086]"
338,"[123.124, 114.032]","[1.775, -0.75]","[-0.638, 2.266]"
339,"[222.394, 205.643]","[0.652, 0.289]","[-0.027, 3.08]"
340,"[222.78, 217.176]","[-1.344, 0.265]","[0.263, -2.992]"
341,"[262.808, 165.867]","[0.224, -0.806]","[-2.452, 0.193]"
342,"[148.363, 140.53]","[0.073, -1.51]","[-2.572, 0.62]"
343,"[256.768, 150.287]","[0.734, -0.254]","[-0.464, 3.035]"
344,"[287.932, 248.132]","[1.451, 1.328]","[1.602, -1.415]"
345,"[186.092, 170.605]","[0.806, -0.741]","[1.233, -1.636]"
346,"[244.071, 234.334]","[0.064, 0.641]","[-1.986, 1.141]"
347,"[103.11, 101.63]","[2.076, -0.703]","[1.362, -1.753]"
348,"[201.317, 191.076]","[-1.441, -1.386]","[2.06, -1.122]"
349,"[145.479, 140.622]","[-1.52, 0.063]","[1.28, -1.735]"
350,"[123.01, 77.116]","[2.379, -0.232]","[2.183, -1.279]"
351,"[188.884, 180.496]","[-1.807, -1.182]","[0.471, -2.623]"
352,"[281.123, 220.036]","[0.497, 0.213]","[0.115, 3.13]"
353,"[91.793, 85.198]","[1.361, -1.542]","[-2.747, 0.246]"
354,"[181.685, 179.542]","[0.977, 0.264]","[2.555, -0.564]"
355,"[196.838, 182.596]","[2.163, 2.12]","[2.896, -0.458]"
356,"[163.852, 89.1]","[-1.397, 0.959]","[2.703, -0.479]"
357,"[210.486, 158.653]","[-0.585, -1.826]","[-0.863, 2.51]"
358,"[93.399, 77.94]","[1.227, -1.776]","[0.976, -2.231]"
359,"[211.007, 176.153]","[-1.469, -1.249]","[0.534, -2.813]"
360,"[256.905, 222.265]","[0.506, 1.698]","[-2.699, 0.495]"
361,"[164.361, 138.366]","[-0.62, 2.072]","[-2.573, 0.522]"
362,"[236.932, 220.47]","[-0.041, -1.381]","[-2.159, 0.902]"
363,"[256.414, 246.72]","[0.237, -0.612]","[1.458, -1.835]"
364,"[135.13, 134.846]","[0.903, -1.195]","[2.848, -0.307]"
365,"[220.546, 196.631]","[0.364, 0.179]","[-1.369, 1.785]"
366,"[147.604, 146.047]","[1.217, -0.353]","[-1.554, 1.612]"
367,"[179.221, 98.945]","[-2.014, -0.004]","[-1.412, 2.825]"
