,Momenta,Eta,Phi
0,"[188.706, 187.142]","[-1.742, -0.87]","[-2.445, 0.687]"
1,"[222.362, 217.23]","[-0.083, -0.983]","[2.69, -0.187]"
2,"[140.911, 126.701]","[-0.808, 1.113]","[-3.071, -0.39]"
3,"[280.141, 278.361]","[-0.995, 1.075]","[-1.403, 1.927]"
4,"[383.026, 349.641]","[-0.748, 1.251]","[-2.676, 0.558]"
5,"[266.73, 214.001]","[-0.94, -1.535]","[-1.141, 2.202]"
6,"[214.468, 10.348]","[2.327, 2.017]","[-1.377, 1.77]"
7,"[189.903, 185.629]","[-1.971, -1.582]","[-3.118, 0.088]"
8,"[231.261, 204.695]","[-1.474, -1.7]","[0.206, -2.453]"
9,"[199.577, 182.873]","[1.961, 1.607]","[1.087, -1.929]"
10,"[196.199, 187.887]","[0.292, -0.127]","[0.041, -3.012]"
11,"[265.272, 245.917]","[-2.468, -1.515]","[-1.771, 1.381]"
12,"[152.127, 144.934]","[0.603, -0.889]","[-1.918, 1.36]"
13,"[180.112, 161.284]","[0.408, -1.024]","[3.028, 0.044]"
14,"[268.049, 266.471]","[-1.096, -1.034]","[-0.431, 2.57]"
15,"[200.887, 159.018]","[1.739, 0.273]","[-1.154, 2.29]"
16,"[236.115, 226.937]","[1.296, 2.085]","[-2.766, 0.418]"
17,"[185.11, 183.258]","[-0.345, 0.545]","[-2.932, 0.187]"
18,"[467.06, 289.666]","[0.726, 0.376]","[0.622, -1.222]"
19,"[149.246, 95.229]","[-1.038, 1.135]","[-0.939, 1.774]"
20,"[218.936, 207.735]","[0.155, -0.05]","[2.136, -0.88]"
21,"[254.152, 176.204]","[0.759, 0.516]","[2.872, -0.279]"
22,"[211.702, 205.482]","[-0.589, 0.345]","[-2.83, 0.541]"
23,"[306.671, 304.483]","[1.999, 1.041]","[2.697, -0.286]"
24,"[212.291, 206.57]","[-0.153, -0.4]","[0.062, -3.13]"
25,"[278.158, 255.316]","[-1.081, -0.814]","[-3.101, -0.03]"
26,"[119.859, 101.662]","[-2.176, 0.964]","[0.422, -2.766]"
27,"[170.828, 166.058]","[-0.185, -1.664]","[-0.81, 2.353]"
28,"[262.272, 261.001]","[-1.324, -0.616]","[-1.279, 1.855]"
29,"[228.046, 210.369]","[2.155, 0.625]","[-1.736, 1.453]"
30,"[201.891, 201.362]","[-1.168, -2.315]","[1.041, -2.084]"
31,"[611.841, 170.063]","[0.172, 1.408]","[0.809, 2.934]"
32,"[310.946, 208.846]","[0.703, 1.089]","[-1.656, 1.433]"
33,"[192.606, 185.235]","[-1.936, -0.088]","[-2.653, 0.447]"
34,"[170.963, 147.895]","[-0.704, 0.78]","[-2.405, 0.735]"
35,"[218.144, 186.136]","[-1.51, -1.341]","[0.449, -2.398]"
36,"[147.724, 139.583]","[1.61, -0.018]","[-1.128, 1.91]"
37,"[428.156, 150.586]","[-1.453, 0.617]","[-0.821, 0.677]"
38,"[217.136, 185.411]","[-1.761, -1.188]","[-0.394, 2.557]"
39,"[248.065, 237.532]","[0.694, 0.248]","[-1.325, 2.088]"
40,"[337.432, 283.697]","[-1.419, -1.145]","[2.758, -0.341]"
41,"[194.898, 192.633]","[1.482, 2.408]","[-2.225, 0.868]"
42,"[206.759, 169.264]","[-0.314, 0.184]","[-2.097, 1.716]"
43,"[207.524, 200.757]","[-0.101, 0.787]","[2.889, -0.195]"
44,"[206.968, 202.193]","[1.435, 0.257]","[2.722, -0.143]"
45,"[228.368, 225.313]","[0.435, 0.249]","[1.775, -1.407]"
46,"[168.076, 128.171]","[0.095, -1.536]","[0.619, -1.676]"
47,"[121.679, 119.107]","[-1.626, 0.343]","[0.918, -2.137]"
48,"[171.874, 163.98]","[1.685, 0.166]","[-2.656, 0.391]"
49,"[227.11, 215.139]","[-1.354, -1.098]","[-1.117, 2.106]"
50,"[208.32, 201.905]","[0.64, 0.889]","[0.802, -2.311]"
51,"[220.925, 160.497]","[1.56, 2.049]","[0.778, -2.4]"
52,"[53.457, 48.032]","[-2.259, 2.206]","[0.339, -2.92]"
53,"[350.481, 329.928]","[-0.139, 0.417]","[-2.351, 0.783]"
54,"[153.997, 121.505]","[2.292, -0.448]","[1.372, -2.067]"
55,"[341.28, 250.139]","[0.339, -0.03]","[3.138, -0.127]"
56,"[163.684, 161.773]","[1.216, -0.541]","[-1.681, 1.498]"
57,"[130.805, 118.741]","[-0.257, 1.958]","[0.959, -2.256]"
58,"[255.288, 156.361]","[2.328, 1.903]","[0.941, -1.639]"
59,"[177.942, 172.522]","[-0.396, 0.718]","[-1.145, 2.091]"
60,"[196.692, 168.226]","[-1.851, -1.058]","[1.412, -1.465]"
61,"[119.831, 99.581]","[-1.987, 0.323]","[2.248, -1.368]"
62,"[105.705, 96.667]","[-1.951, 0.692]","[-3.073, -0.049]"
63,"[176.1, 161.928]","[-0.247, 1.07]","[-0.478, 2.405]"
64,"[150.298, 132.138]","[1.289, 1.0]","[-2.627, -0.085]"
65,"[216.612, 144.478]","[-1.318, 0.117]","[1.92, -0.939]"
66,"[263.306, 254.053]","[-0.778, -1.187]","[1.497, -1.693]"
