,Invariant Mass
0,499.3904376705686
1,514.834437274535
2,491.89532123445696
3,509.9381144583568
4,510.70932426224823
5,462.2994732213071
6,488.50202498647064
7,499.40529009073833
8,510.8673817366886
9,495.8275280898362
10,491.8867610669187
11,508.4198042308632
12,389.4852554959764
13,503.67348800419853
14,519.4880130686739
15,503.33069014463183
16,496.0205070386602
17,361.3113983088677
18,670.3624322155163
19,508.8983542794327
20,501.232320679603
21,493.3076732917633
22,495.96038839403997
23,498.6803010283161
24,492.3837584437843
25,503.84103167574307
26,495.9943525889883
27,504.0734309801872
28,514.9418991574545
29,502.3070381619823
30,469.3264518806357
31,497.9560264068252
32,509.8721967970387
33,498.60088540423004
34,598.5628697378365
35,325.5160101409208
36,500.5743460020451
37,496.7093410345973
38,495.83323786788856
39,494.1344599756619
40,506.1370216764664
41,426.5193533232106
42,504.1777044633548
43,484.3164575033194
44,493.76772650212166
45,498.23168998207126
46,503.23959587031896
47,511.09461920889214
48,503.6409169821949
49,499.81793491491715
50,452.26490368452016
51,491.23332090090355
52,488.1871215644823
53,485.6130925643704
54,502.86193723113416
55,502.84461427822225
56,500.44164311767645
57,501.6850399917612
58,510.77912880319406
59,498.7202863553824
60,501.06088173229733
61,504.86398012633623
62,502.08565867153743
63,489.9261973569162
64,507.8535994835055
65,503.40970617226606
66,488.78575070635156
67,496.302858080583
68,300.585320307037
69,506.4981745132171
70,505.43280955818665
71,636.1232158045949
72,521.6406727206092
73,494.48303789251514
74,502.70782712148485
75,506.46219939426413
76,512.2039346004134
77,2037.8160751932205
78,469.124617117544
79,500.42453578971055
80,501.5292593465549
81,500.3934871453412
82,488.26919969847506
83,499.6046622866571
84,500.37615048944537
85,478.6547136664586
86,465.3864877864855
87,488.86877194688043
88,476.2252707467621
89,489.9753583493349
90,506.8887460875183
91,501.34165933474463
92,506.77450565493757
93,494.9867558044066
94,496.59156953413947
95,464.3920891812231
96,508.2585789799341
97,466.0753893991365
98,496.6952916099132
99,498.00344746887527
100,499.3227905578631
101,489.8269388487018
102,511.5575085098628
103,531.0661762021081
104,481.9478818826787
105,492.301349968454
106,498.0679198455853
107,501.99729166433866
108,494.0179457338992
109,501.77423076203
110,493.19243572460334
111,489.60670561617724
112,489.04179211038985
113,501.454439252396
114,503.0966365996212
115,492.3138276137833
116,494.30222469070713
117,493.0311647740795
118,496.5726800407096
119,414.7502784448394
120,490.05086343944544
121,500.4545353902865
122,516.9626116832727
123,527.9807508154571
124,500.53196702092043
125,496.8549579359382
126,488.59751157243704
127,546.5740991354895
128,506.84162100453307
129,494.65656529866646
130,500.67045457322524
131,494.38693686435977
132,498.71055568637667
133,496.7633884961688
134,494.97386870081533
135,505.28387497226896
136,481.18122615947874
137,489.97904983342625
138,514.1177284184167
139,480.4155901938437
140,473.29260674078637
141,714.217096748925
142,503.72157141504164
143,503.2844361017602
144,501.64436237516645
145,496.85003598526026
146,508.957658180919
147,539.5126732656706
148,498.7798155039436
149,492.91912240361125
150,499.0671562235867
151,474.50040845084413
152,502.5020160361404
153,489.93982212045256
154,479.13369467713636
155,489.9081334380571
156,497.27133286448895
157,504.58661012972806
158,498.8837301641562
159,500.29759862586474
160,505.5755165475244
161,488.7083974096423
162,639.4735416451703
163,498.800978823657
164,503.3793047394065
165,520.5673341372561
166,471.80651997498734
167,553.8814656083845
168,493.01525223154437
169,507.0361706031845
170,492.738907397471
171,530.1405435660632
