,Invariant Mass
0,401.72567114034194
1,392.56686536277545
2,394.13817616563927
3,401.2226611497323
4,429.97757713740646
5,580.9651288911983
6,400.1030565473295
7,406.80938441643883
8,391.26035907812957
9,393.9081711814172
10,399.7100550301309
11,424.3269779550491
12,371.7069725687038
13,399.6200837715432
14,411.41097127721264
15,397.6271417544433
16,396.1080861763084
17,397.3032339630164
18,395.8450365492047
19,389.15844833974546
20,404.9672963612229
21,400.4475454327377
22,394.4939126621268
23,385.89795902340575
24,393.4200306955446
25,397.525343727056
26,402.9462664139679
27,392.6310445486426
28,400.405475485257
29,398.110205289851
30,394.86545027623015
31,406.20175049529337
32,392.12286019559235
33,391.57126091188985
34,399.85874881855864
35,386.6297194246186
36,385.3840067454867
37,387.0332735797652
38,395.7164963001884
39,389.10969740894075
40,400.4810692329889
41,399.7812534476568
42,388.8639246613427
43,395.97594132464707
44,400.0796412574849
45,393.2783135537741
46,401.4981145366757
47,397.3280980686718
48,401.0958597574453
49,406.4994268993756
50,457.1577485935006
51,403.81861424852804
52,401.28777638185375
53,395.1436011815269
54,408.91306861189497
55,420.37198691843264
56,386.0420861682836
57,396.90492390221016
58,395.83811660449743
59,382.95866233063515
60,401.39595836795974
61,404.15486954601096
62,403.8087226635327
63,470.27714418232483
64,395.78279819634093
65,396.8396086518457
66,400.3911252337404
67,389.3335449105379
68,407.46215951569775
69,396.192783198504
70,383.14522832600954
71,392.9753915301471
72,401.1597799243021
73,398.70325412601403
74,406.09642663803237
75,399.711492270058
76,396.8486818510221
77,402.5949004595786
78,404.2788301178193
79,368.60064729874256
80,399.47548009620874
81,409.1533176751196
82,403.4438990758477
83,408.2338556929693
84,434.70769940120016
85,394.1442621878095
86,415.20057505192835
87,414.3336009279463
88,401.8855496158128
89,396.99734392217937
90,403.6778698341842
91,393.358546865569
92,394.6475696243568
93,383.078007899287
94,408.30210139923923
95,404.3900013062818
96,402.84155666393644
97,384.8504416243318
98,394.97518288560104
99,414.80525998859054
100,404.472805877265
101,299.2746739813065
102,402.4590323920001
103,396.3214823316669
104,401.7916762560364
105,412.6064837026502
106,373.93847063440506
107,618.5265695631304
108,399.62900413803084
109,397.15786792620804
110,392.8539584358565
111,391.4134511970235
112,507.63250839712776
113,396.066799186349
114,390.61192958820794
115,520.2141397802542
116,396.07965238806787
117,405.83618147034457
118,401.01054384323
119,390.55415264983947
120,405.06306382628355
121,399.97906091896806
122,395.8879986581811
123,401.72299107523736
124,390.50247262109156
125,400.43221466993583
126,399.7045233666734
127,405.8261074966741
128,404.3109041954861
129,400.69530928471534
130,399.6801354217586
131,365.12590981876065
132,387.9611131391895
133,426.4300563348939
134,414.64256576216115
135,392.47239567586155
136,1886.1197411742755
137,393.8905647945807
138,398.2558955509159
