,Invariant Mass
0,554.8572088104377
1,206.70120834850047
2,224.72304889028888
3,199.93684214271823
4,203.69462242254178
5,1220.052344111227
6,204.225312106483
7,211.64524884699054
8,283.39420354005506
9,200.2007698362884
10,195.67937722349907
11,195.54113956772457
12,194.99426397706424
13,201.67896131047218
14,203.24079799490403
15,202.91239119879316
16,200.30480485515932
17,202.9779170860407
18,377.38113592368194
19,202.41808697481827
20,206.42345352577797
21,180.22428137078538
22,193.63925836821807
23,200.7673075158461
24,283.1811828170309
25,208.8812932488582
26,203.0356972155645
27,199.8781726936396
28,564.6752216666524
29,201.5249809018305
30,205.98525727174365
31,211.30900265487165
32,203.62294265889946
33,203.25986709902375
34,243.00262241856439
35,198.13358431022436
36,193.42551486613604
37,190.6388578990633
38,203.41262774128592
39,201.8355886806927
40,200.40160914106036
41,202.92439077613628
42,199.49718861509558
43,212.1629696829646
44,212.17284150512958
45,197.3612125511116
46,200.33558552422977
47,227.91836227778236
48,200.72373794573662
49,204.6122808971541
50,193.3533948934347
51,199.18803771359026
52,196.90501677261489
53,201.20789000742207
54,179.9932197108702
55,146.59076707802413
56,199.84398949915848
57,551.4773902714885
58,181.4688704579873
59,241.63287805721512
60,205.50010873502924
61,188.843980003551
62,203.88252437298135
63,195.7131122194101
64,213.04279747474493
65,206.4629422757963
66,861.9775828352184
67,191.24833865082422
68,200.20727097276082
69,200.80949721015622
70,203.55699129712278
71,209.07802472212103
72,193.75091763927392
73,202.58163768991625
74,214.01476260332373
75,209.2115274665529
76,209.03583975317792
77,303.16302942004086
78,201.48294179084414
79,204.3418449763669
80,201.9786057487417
81,182.9903322793913
82,202.3843604999988
83,202.05576506991903
84,203.4262278121359
85,205.57420174215065
86,219.38824910801182
87,201.09515010756073
88,249.16804911200762
89,205.04254014591558
90,172.75797332324288
91,202.11469021741348
92,199.55955886486865
93,196.59782115586862
94,247.74525017529558
95,220.9027865496603
96,200.59982792189172
97,214.43443470265072
98,200.61825488259794
99,209.15076147515825
100,199.31465926723388
101,191.84776211947485
102,243.65174181302905
103,216.2993678190145
104,544.4579148575175
105,207.2633158897304
106,314.04937724133373
107,361.30639738188404
108,245.71292359301682
109,192.5824282719644
110,206.2063236388068
111,209.44654064429557
112,206.70123266432432
113,192.96144334439202
114,193.346487883539
115,196.10635877893893
116,197.41788617731132
117,207.90868828458093
118,200.39069683342123
119,241.61820101038086
120,201.86379685958576
121,212.6220669736063
122,219.46025716734826
123,178.9812443442897
124,191.63275935913722
125,198.2297118723934
126,198.06397158323028
127,322.39950284918314
128,202.79489231373392
129,164.97242786560304
130,197.024613903718
131,193.83070036414506
132,242.4558380548257
133,203.45912609425213
134,184.79761951210273
135,198.7397662785214
136,196.85047224275203
137,202.6142736167473
138,190.48317947687727
139,205.67987670801838
140,178.47262677609098
141,194.86916927011615
142,474.06726922372167
143,211.71932487288873
144,186.40126778548944
145,192.807511016348
146,382.2374372204105
147,201.1490513514818
148,208.84800147833232
149,192.97035676155718
150,210.00919976491116
151,196.50794194378724
152,139.5132941195092
153,197.27263664124663
154,346.05526220098386
155,206.96003350619344
156,199.93015861149252
157,240.59665470583124
158,227.12380892284935
159,204.42445404459147
160,198.85296072698264
161,200.51844963138365
162,197.65059417856563
163,191.85344303311604
164,219.14068155449118
165,198.07472464763262
166,438.74769733179335
167,195.90982819378712
168,200.52840736733228
169,196.98096411373052
170,200.3076358173296
171,265.91016949029483
172,317.002492353827
173,202.0306873502856
174,200.85384228664418
175,1110.7616982774994
176,187.2832802990689
177,205.14334793278925
178,210.76612399584164
179,203.28788193180185
180,193.40718056304945
181,198.96519830333744
182,196.52286622166196
183,168.7844768287374
184,196.85259068670595
185,210.00988640131706
186,202.2848624847806
187,199.5202500767562
188,367.6853794138366
189,195.6315842912811
190,191.52465960814573
191,198.26166062079844
192,602.1598443775551
193,197.52012505489913
194,197.3028279034389
195,147.90362870538686
196,200.87720107944799
197,190.00649680558416
198,206.00368886344322
199,195.26150790420056
200,260.6115092574151
201,187.6241970083798
202,200.20366882736826
203,198.46362026383687
204,200.912298468884
205,178.38479043955613
206,209.21921258560644
207,936.960229903888
208,200.31112193732147
209,165.03451439882068
210,199.56293249923684
211,183.69552873432343
212,205.9612521815526
213,181.69320089537737
214,191.79932034236032
215,186.8788848584965
216,214.99600688349196
217,221.20409098082936
218,195.77854479845203
219,204.59218226079855
220,199.25259680050357
221,208.81553764694365
222,229.41772646253725
223,210.76852780252236
224,194.14024786970134
225,869.764993156469
226,197.71933110281455
227,198.83269508241213
228,193.43394089306327
229,192.48191704864365
230,192.9958246341631
231,192.35700918553079
232,207.9512797302217
233,181.9486987428966
234,216.36342953440882
235,195.2992384158729
236,207.97530393414604
237,208.893102362304
238,211.6641313663563
239,183.33168437278485
240,203.65095278054798
241,203.43278353497672
242,199.30640579900253
243,190.8054160825736
244,228.33395800947858
245,421.8519173437879
246,204.55631655920854
247,190.37570108336627
248,197.02567691500792
249,195.63424287325353
250,195.83234646657627
