,Invariant Mass
0,297.2398967206184
1,319.0616042236338
2,281.2357384518453
3,291.3595347101758
4,304.73270030482695
5,296.39620559649916
6,295.7156413849321
7,298.1256374337656
8,300.6331931392591
9,1419.7618116034969
10,298.36091314866496
11,284.43780097190734
12,303.59019580618616
13,304.57796565167274
14,290.5427869719896
15,297.1389508489764
16,314.6289408613288
17,288.00290559215034
18,290.0151129776971
19,297.7809605707798
20,299.90360566948084
21,292.55598245980923
22,297.4235451576577
23,289.47164995750046
24,292.0089457110618
25,269.322674324171
26,248.6563549851195
27,303.02100810530396
28,301.7514059255798
29,290.2700343894856
30,297.8026034530739
31,279.97553618329624
32,296.10032518362567
33,300.27955134413475
34,290.74084748819473
35,295.1895839898609
36,314.06086129830015
37,297.2141287247923
38,313.53738901786335
39,298.5308240377464
40,272.32470738729177
41,296.91676017577436
42,356.46786691445357
43,292.3924464297462
44,297.7310347927388
45,832.8848011528167
46,303.59209386416296
47,305.9772239067751
48,297.8420811871656
49,304.88892669941356
50,285.71624047535374
51,289.7771127351014
52,301.0587471698136
53,303.6043294805021
54,307.8168361644966
55,314.1049302385813
56,296.63351052006
57,295.42089964319285
58,385.3420859014113
59,941.3061695604517
60,275.0259185988214
61,1070.6093971201608
62,330.8409218203394
63,272.85087233118946
64,296.4971176998367
65,298.6800223963742
66,303.5024086075974
67,319.9453394219052
68,303.8429164414022
69,288.180403172045
70,303.97687338505807
71,304.5111817857287
72,343.5212908760925
73,297.49973862702325
74,295.92661563906523
75,293.73011316262085
76,300.0185082207753
77,302.60987888108195
78,296.6771163847024
79,300.43467165163764
80,299.0483165680325
81,319.41498455155096
82,301.72981164065783
83,313.7433236614592
84,302.5723334231264
85,293.67801756665057
86,337.2221045678107
87,283.1241276097545
88,305.928128285188
89,281.44004005831636
90,289.1720035803435
91,297.7541859076336
92,310.11394413397363
93,534.2025681002756
94,300.96837366118206
95,299.73073937976636
96,430.8578698085727
97,398.84043259714934
98,290.003613732499
99,283.60916999361814
100,265.8577885795247
101,295.7046989336121
102,430.32504404994216
103,349.54275731695975
104,299.6636999250446
105,306.2753914335878
106,286.95658308095256
107,299.2906525901332
108,1726.9559717814204
109,711.5928867358161
110,333.6983731494353
111,302.17917703529776
112,302.07456084176357
113,614.2126584677112
114,292.7931440378824
115,283.15132534234834
116,295.0973723483012
117,291.57914606343155
118,444.03994438828954
119,304.07360813488896
120,302.4662902019689
121,299.44404083028036
122,296.7373151533395
123,291.4537532120487
124,265.3149771682356
125,281.10230257418783
126,303.6898167553829
127,297.57528866902675
128,288.56557609336875
129,303.55424126570546
130,297.8069680749271
131,330.79322316722767
132,292.1733298637137
133,286.9027116802587
134,302.09201287180184
135,367.0872852693869
136,310.5429239474604
137,306.635976582455
138,301.92570721467933
139,322.4661877737866
140,296.477281099698
141,300.1589887759376
142,371.0662083817361
143,296.188123716471
144,645.0692790545063
145,301.99352268782366
146,301.73932652885156
147,296.03656665203334
148,299.9429659008721
149,305.50479688322883
150,289.225555719989
151,120.49302086424181
152,308.45172676615135
153,296.4764591097816
154,301.5789672636203
155,301.0163752585084
156,301.1442359757973
157,299.0797283823188
158,321.19163352260915
159,292.5053963138661
160,359.46876683896767
161,301.99476044117733
162,297.5861442149593
163,324.51168461971537
164,299.49208133708163
165,301.28593007258206
166,302.3232045500097
167,252.78269565747974
168,293.49779852867954
169,296.8681990255815
170,298.00874950513776
171,288.74146010162127
172,305.074095384351
173,289.7299147190269
174,299.4196591399595
175,308.49264299950966
176,286.5008330925589
177,309.3054876366851
178,279.9378763560635
179,348.77118201490873
180,286.9595622596124
181,288.8893727761934
182,299.5254927348357
183,268.9621683925924
184,280.33454496708754
185,323.9127632308449
186,297.4399932800951
187,290.36982034681535
188,290.84735783012
189,312.9015102847814
190,458.94358095628223
191,299.8654083777012
192,299.5678098544046
193,293.94827459313007
194,328.2211284543241
195,304.8154296909952
196,302.23472227067356
197,308.93450636142376
198,301.1332819182623
199,424.2844663610076
200,311.23558541670246
201,298.7130860728123
202,308.92139907565274
203,294.59534073364705
204,318.5380559123863
205,300.5063539829281
206,294.9760265495213
207,305.0233892909985
208,293.6577697436283
209,296.7732452151854
210,296.61217837767094
211,305.9716372814153
212,298.03028904992107
213,300.52046992537754
214,317.9835631392093
215,294.5587574737087
216,290.36357658601264
217,295.14942438554533
218,295.0150539753054
219,497.002165813269
220,340.8152836869931
221,319.42748941654327
222,286.17991120614136
223,464.1480574530822
224,314.26741455540247
225,297.4999448921909
226,300.3895717117008
227,287.3695782161972
228,291.98313321708065
229,293.10850591103576
230,287.342910289542
231,1185.1563562140898
232,250.34904931277347
233,294.41526807738836
234,300.327252048576
235,305.1639810739121
236,295.974515979643
237,306.1127479351331
238,291.8797829190461
239,295.8591711046421
240,287.43310096738355
241,339.3806312323677
242,312.12440426435086
243,327.84746862547166
244,295.4846718347614
245,298.11518047034485
246,292.2394423793081
247,295.2274546347603
248,297.85143013695716
249,290.32785371794074
250,447.1031206575093
251,302.93911542605616
252,302.83319082503317
